model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
COVERAGE,,D,0.23474,Allisha Gray,ATL,Atlanta Dream,WSH,Washington Mystics,PTS,OVER,17.5,17.695,0.195,0.53813,0.54545,-0.00733,30.54,126,OVER,19.9,-120.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/atlanta-dream-washington-mystics-scores-odds-picks-props-august-07-2026/9b694d7f-dbdf-46b9-9203-36b6600fc823,single_side_price|thin_market_count,below_consensus_probability
SELECTED,2,C,0.56513,Angel Reese,ATL,Atlanta Dream,WSH,Washington Mystics,PA,OVER,17.5,19.802,2.302,0.61627,0.54545,0.07081,30.47,103,OVER,21.1,-120.0,FanDuel,Pts + Ast,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/atlanta-dream-washington-mystics-scores-odds-picks-props-august-07-2026/9b694d7f-dbdf-46b9-9203-36b6600fc823,combo_market_correlation|single_side_price|thin_market_count|volatile_minutes,
COVERAGE,,D,0.47722,Angel Reese,ATL,Atlanta Dream,WSH,Washington Mystics,PTS,OVER,15.5,16.873,1.373,0.5776,0.5098,0.0678,30.47,103,OVER,18.4,-104.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/atlanta-dream-washington-mystics-scores-odds-picks-props-august-07-2026/9b694d7f-dbdf-46b9-9203-36b6600fc823,single_side_price|thin_market_count|volatile_minutes,below_consensus_probability
COVERAGE,,D,0.0,Kayla Thornton,GS,Golden State Valkyries,DAL,Dallas Wings,PR,OVER,12.5,12.042,-0.458,0.51185,,,22.6,110,UNDER,9.4,-106.0,FanDuel,Pts + Reb,preserved_same_day,source_game_match,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-dallas-wings-scores-odds-picks-props-august-07-2026/e3b278f1-c3ea-45fb-b24f-40d1d71ac877,combo_market_correlation|no_price_edge|not_current_source_snapshot|single_side_price|source_pick_disagreement|source_projection_disagreement|thin_market_count|volatile_minutes,single_side_price_excluded
COVERAGE,,D,0.15977,Kayla Thornton,GS,Golden State Valkyries,DAL,Dallas Wings,PTS,UNDER,8.5,8.432,-0.068,0.5017,0.58333,-0.08164,22.6,110,UNDER,5.9,-140.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-dallas-wings-scores-odds-picks-props-august-07-2026/e3b278f1-c3ea-45fb-b24f-40d1d71ac877,single_side_price|thin_market_count|volatile_minutes,below_consensus_probability
COVERAGE,,D,0.19585,Veronica Burton,GS,Golden State Valkyries,DAL,Dallas Wings,PA,UNDER,18.5,17.304,-1.196,0.52304,0.53271,-0.00967,29.48,118,UNDER,15.5,-114.0,FanDuel,Pts + Ast,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-dallas-wings-scores-odds-picks-props-august-07-2026/e3b278f1-c3ea-45fb-b24f-40d1d71ac877,combo_market_correlation|single_side_price|thin_market_count,below_consensus_probability
COVERAGE,,D,0.16643,Veronica Burton,GS,Golden State Valkyries,DAL,Dallas Wings,PTS,UNDER,11.5,11.323,-0.177,0.50846,0.50495,0.00351,29.48,118,UNDER,8.8,-102.0,FanDuel,Points,preserved_same_day,source_game_match,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-dallas-wings-scores-odds-picks-props-august-07-2026/e3b278f1-c3ea-45fb-b24f-40d1d71ac877,not_current_source_snapshot|single_side_price|thin_market_count,not_current_source_snapshot
COVERAGE,,D,0.42966,Veronica Burton,GS,Golden State Valkyries,DAL,Dallas Wings,PTS,UNDER,12.5,11.323,-1.177,0.58717,0.5614,0.02577,29.48,118,UNDER,8.8,-128.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-dallas-wings-scores-odds-picks-props-august-07-2026/e3b278f1-c3ea-45fb-b24f-40d1d71ac877,single_side_price|thin_market_count,below_consensus_probability
COVERAGE,,D,0.25096,Kahleah Copper,PHX,Phoenix Mercury,CON,Connecticut Sun,PA,UNDER,23.5,21.393,-2.107,0.54905,0.5614,-0.01235,33.02,116,UNDER,19.2,-128.0,FanDuel,Pts + Ast,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/phoenix-mercury-connecticut-sun-scores-odds-picks-props-august-07-2026/c3d29a91-8c5c-40fa-9788-d7122386a032,combo_market_correlation|single_side_price|thin_market_count|volatile_minutes,below_consensus_probability
COVERAGE,,D,0.26142,Kahleah Copper,PHX,Phoenix Mercury,CON,Connecticut Sun,PTS,UNDER,20.5,18.934,-1.566,0.52507,0.5,0.02507,33.02,116,UNDER,16.9,100.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/phoenix-mercury-connecticut-sun-scores-odds-picks-props-august-07-2026/c3d29a91-8c5c-40fa-9788-d7122386a032,single_side_price|thin_market_count|volatile_minutes,below_consensus_probability
SELECTED,1,B,0.71917,Kahleah Copper,PHX,Phoenix Mercury,CON,Connecticut Sun,THREES,UNDER,2.5,1.654,-0.846,0.69381,0.67742,0.01639,33.02,116,UNDER,1.2,-210.0,FanDuel,3 Point FG Made,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/phoenix-mercury-connecticut-sun-scores-odds-picks-props-august-07-2026/c3d29a91-8c5c-40fa-9788-d7122386a032,single_side_price|thin_market_count|volatile_minutes,
