season,game_id,game_date,season_phase,game_time_et,matchup_key,player_id,player,team_abbr,opponent_abbr,is_home,starter,position,minutes,points,rebounds,assists,three_made,three_attempts,turnovers,steals,blocks,oreb,dreb,personal_fouls,fgm,fga,ftm,fta,plus_minus,team_score,opponent_score,PTS,REB,AST,THREES,PRA,PA,PR,RA,source
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4066534,Ruthy Hebard,MIN,CHI,True,False,F,6.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,-7,92,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4398567,Taylor Soule,MIN,CHI,True,False,F,13.0,6,2,2,0,0,1,1,0,1,1,1,2,2,2,4,+1,92,81,6.0,2.0,2.0,0.0,10.0,8.0,8.0,4.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4398763,Mimi Collins,MIN,CHI,True,False,F,2.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,+2,92,81,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4595150,Camryn Taylor,MIN,CHI,True,False,F,7.0,8,5,0,0,1,1,1,1,2,3,3,4,6,0,0,+7,92,81,8.0,5.0,0.0,0.0,13.0,8.0,13.0,5.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,5105752,Alissa Pili,MIN,CHI,True,False,F,13.0,2,1,0,0,5,3,0,0,0,1,1,1,7,0,0,-13,92,81,2.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4038390,Olivia Epoupa,MIN,CHI,True,False,G,17.0,3,5,1,0,0,1,0,0,1,4,3,1,3,1,2,-2,92,81,3.0,5.0,1.0,0.0,9.0,4.0,8.0,6.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4398947,Kayana Traylor,MIN,CHI,True,False,G,17.0,6,0,0,0,1,0,0,0,0,0,2,2,5,2,2,-6,92,81,6.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4594726,Kiki Jefferson,MIN,CHI,True,False,G,3.0,4,1,0,0,0,0,0,0,0,1,1,2,2,0,1,-1,92,81,4.0,1.0,0.0,0.0,5.0,4.0,5.0,1.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4595303,Quinesha Lockett,MIN,CHI,True,False,G,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,+3,92,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4398776,NaLyssa Smith,IND,DAL,False,True,F,33.0,20,5,0,0,1,1,1,1,0,5,1,5,13,10,13,-7,76,79,20.0,5.0,0.0,0.0,25.0,20.0,25.0,5.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4432831,Aliyah Boston,IND,DAL,False,True,C,31.0,8,8,2,0,0,1,0,2,2,6,3,4,10,0,0,+3,76,79,8.0,8.0,2.0,0.0,18.0,10.0,16.0,10.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,2491214,Erica Wheeler,IND,DAL,False,True,G,25.0,16,4,4,1,2,1,0,0,2,2,1,7,11,1,1,-5,76,79,16.0,4.0,4.0,1.0,24.0,20.0,20.0,8.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4398829,Lexie Hull,IND,DAL,False,True,G,23.0,2,0,1,0,1,0,1,0,0,0,1,1,2,0,0,+2,76,79,2.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4433403,Caitlin Clark,IND,DAL,False,True,G,28.0,21,3,2,5,13,5,2,0,0,3,4,6,15,4,5,+6,76,79,21.0,3.0,2.0,5.0,26.0,23.0,24.0,5.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4398752,Victaria Saxton,IND,DAL,False,False,F,5.0,0,0,1,0,1,0,0,2,0,0,3,0,1,0,0,0,76,79,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,2569044,Temi Fagbenle,IND,DAL,False,False,C,11.0,5,3,0,1,1,0,0,1,0,3,1,2,3,0,0,-2,76,79,5.0,3.0,0.0,1.0,8.0,5.0,8.0,3.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,3156318,Kristy Wallace,IND,DAL,False,False,G,11.0,2,3,2,0,0,0,1,0,1,2,0,0,1,2,2,-1,76,79,2.0,3.0,2.0,0.0,7.0,4.0,5.0,5.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4280850,Maya Caldwell,IND,DAL,False,False,G,5.0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,-1,76,79,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4398899,Grace Berger,IND,DAL,False,False,G,13.0,2,1,1,0,0,2,0,0,0,1,3,1,4,0,0,-10,76,79,2.0,1.0,1.0,0.0,4.0,3.0,3.0,2.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4432864,Celeste Taylor,IND,DAL,False,False,G,11.0,0,5,0,0,0,2,0,0,0,5,2,0,0,0,0,+3,76,79,0.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4595156,Leilani Correa,IND,DAL,False,False,G,4.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,-3,76,79,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,espn_site_api
