model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
COVERAGE,,D,0.44742,Alyssa Thomas,PHX,Phoenix Mercury,TOR,Toronto Tempo,AST,UNDER,9.5,8.635,-0.865,0.63286,0.54037,0.09249,32.83,108,NAN,10.27,,bet365,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,source_projection_disagreement|volatile_minutes,
COVERAGE,,D,0.08419,Alyssa Thomas,PHX,Phoenix Mercury,TOR,Toronto Tempo,PR,UNDER,24.5,22.854,-1.646,0.53188,0.47639,0.05548,32.83,108,NAN,24.66,,bet365,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|source_projection_disagreement|source_projection_near_line|volatile_minutes,
COVERAGE,,D,0.16006,Alyssa Thomas,PHX,Phoenix Mercury,TOR,Toronto Tempo,PTS,UNDER,15.5,14.806,-0.694,0.53224,0.47578,0.05646,32.83,108,NAN,16.35,,caesars,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,source_projection_disagreement|volatile_minutes,
COVERAGE,,D,0.22803,Alyssa Thomas,PHX,Phoenix Mercury,TOR,Toronto Tempo,RA,UNDER,17.5,16.687,-0.813,0.56295,0.45894,0.10401,32.83,108,NAN,18.58,,bet365,RA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,combo_market_correlation|source_projection_disagreement|volatile_minutes,
COVERAGE,,D,0.28012,Alyssa Thomas,PHX,Phoenix Mercury,TOR,Toronto Tempo,REB,UNDER,8.5,8.048,-0.452,0.53862,0.5,0.03862,32.83,108,NAN,8.31,,draftkings,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,source_projection_near_line|volatile_minutes,
COVERAGE,,D,0.11211,DeWanna Bonner,PHX,Phoenix Mercury,TOR,Toronto Tempo,PR,UNDER,18.5,17.705,-0.795,0.55678,0.50523,0.05155,29.16,102,NAN,18.72,,bet365,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|source_projection_disagreement|source_projection_near_line|volatile_minutes,
COVERAGE,,D,0.10914,DeWanna Bonner,PHX,Phoenix Mercury,TOR,Toronto Tempo,PTS,UNDER,11.5,11.28,-0.22,0.54786,0.51982,0.02803,29.16,102,NAN,12.5,,caesars,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,source_projection_disagreement|volatile_minutes,
COVERAGE,,D,0.0,DeWanna Bonner,PHX,Phoenix Mercury,TOR,Toronto Tempo,REB,OVER,6.5,6.422,-0.078,0.51805,0.51083,0.00722,29.16,102,NAN,6.22,,hardrock,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,source_projection_disagreement|volatile_minutes,
COVERAGE,,D,0.41561,DeWanna Bonner,PHX,Phoenix Mercury,TOR,Toronto Tempo,THREES,UNDER,1.5,1.093,-0.407,0.61727,0.63962,-0.02235,29.16,102,NAN,1.35,,bet365,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,source_projection_near_line|volatile_minutes,
COVERAGE,,C,0.64522,Jovana Nogic,PHX,Phoenix Mercury,TOR,Toronto Tempo,THREES,OVER,1.5,2.48,0.98,0.66207,0.62556,0.0365,24.89,4,NAN,1.84,,hardrock,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,low_player_sample|thin_player_history,below_expanded_price_edge
