model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
COVERAGE,,D,0.38369,Azura Stevens,CHI,Chicago Sky,LV,Las Vegas Aces,AST,OVER,2.5,3.114,0.614,0.56646,0.56072,0.00574,26.13,78,NAN,2.83,,hardrock,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,,
COVERAGE,,D,0.23091,Azura Stevens,CHI,Chicago Sky,LV,Las Vegas Aces,PR,OVER,17.5,18.973,1.473,0.53455,0.56522,-0.03066,26.13,78,OVER,21.0,-130.0,nan,Pts + Reb,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/las-vegas-aces-chicago-sky-scores-odds-picks-props-june-28-2026/3b7a2639-0847-48ba-8dac-e20703936a5c,combo_market_correlation|single_side_price|thin_market_count,
COVERAGE,,D,0.21805,Azura Stevens,CHI,Chicago Sky,LV,Las Vegas Aces,PTS,OVER,10.5,11.499,0.999,0.51186,0.54128,-0.02942,26.13,78,OVER,13.0,-118.0,nan,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/las-vegas-aces-chicago-sky-scores-odds-picks-props-june-28-2026/3b7a2639-0847-48ba-8dac-e20703936a5c,single_side_price|thin_market_count,
COVERAGE,,D,0.48004,Azura Stevens,CHI,Chicago Sky,LV,Las Vegas Aces,THREES,UNDER,1.5,1.354,-0.146,0.62273,0.62339,-0.00066,26.13,78,NAN,1.22,,bet365,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,,
COVERAGE,,D,0.0,Gabriela Jaquez,CHI,Chicago Sky,LV,Las Vegas Aces,PTS,UNDER,8.5,7.986,-0.514,0.52879,0.52632,0.00247,23.37,16,NAN,8.66,,bet365,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,source_projection_disagreement|source_projection_near_line,
COVERAGE,,D,0.17585,Gabriela Jaquez,CHI,Chicago Sky,LV,Las Vegas Aces,REB,OVER,3.5,3.639,0.139,0.53509,0.55259,-0.0175,23.37,16,NAN,3.71,,hardrock,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,source_projection_near_line,
COVERAGE,,D,0.01737,Kamilla Cardoso,CHI,Chicago Sky,LV,Las Vegas Aces,AST,UNDER,2.5,2.183,-0.317,0.534,0.56522,-0.03122,25.86,96,NAN,2.82,,hardrock,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,single_side_price|source_projection_disagreement|thin_market_count,
CANDIDATE,,B,0.71432,Kamilla Cardoso,CHI,Chicago Sky,LV,Las Vegas Aces,PA,OVER,14.5,18.139,3.639,0.64169,0.52632,0.11537,25.86,96,NAN,15.15,,bet365,PA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-assists,combo_market_correlation,portfolio_full
COVERAGE,,D,0.31486,Kamilla Cardoso,CHI,Chicago Sky,LV,Las Vegas Aces,PRA,OVER,23.5,26.514,3.014,0.60279,0.48311,0.11968,25.86,96,NAN,23.46,,fanduel,PRA,live_current,current_roster_match,"https://www.scoresandodds.com/wnba/props/points,-rebounds,-&-assists",combo_market_correlation|source_projection_disagreement|source_projection_near_line,
SELECTED,5,A,0.74502,Kamilla Cardoso,CHI,Chicago Sky,LV,Las Vegas Aces,PTS,OVER,12.5,16.489,3.989,0.64781,0.51456,0.13325,25.86,96,OVER,14.2,-106.0,nan,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/las-vegas-aces-chicago-sky-scores-odds-picks-props-june-28-2026/3b7a2639-0847-48ba-8dac-e20703936a5c,single_side_price|thin_market_count,
