slate_date,selected_rank,player,team,team_name,opponent,opponent_name,market,side,line,actual,settlement,model_probability,final_score,source_book,source_url
2026-08-03,1,Natisha Hiedeman,SEA,Seattle Storm,NY,New York Liberty,THREES,UNDER,2.5,3.0,LOSS,0.72437,0.89755,FanDuel,https://www.sportsgrid.com/wnba/game/seattle-storm-new-york-liberty-scores-odds-picks-props-august-03-2026/72238044-b63d-4bc5-ad38-93178db72277
2026-08-03,2,Jonquel Jones,NY,New York Liberty,SEA,Seattle Storm,THREES,UNDER,1.5,4.0,LOSS,0.62027,0.66258,FanDuel,https://www.sportsgrid.com/wnba/game/seattle-storm-new-york-liberty-scores-odds-picks-props-august-03-2026/72238044-b63d-4bc5-ad38-93178db72277
2026-08-03,3,Kahleah Copper,PHX,Phoenix Mercury,CHI,Chicago Sky,THREES,UNDER,2.5,4.0,LOSS,0.7162,0.81593,FanDuel,https://www.sportsgrid.com/wnba/game/phoenix-mercury-chicago-sky-scores-odds-picks-props-august-03-2026/90434d73-afdb-40b0-a3cc-203328533dcd
2026-08-03,4,DeWanna Bonner,PHX,Phoenix Mercury,CHI,Chicago Sky,PTS,OVER,10.5,14.0,WIN,0.62833,0.69684,FanDuel,https://www.sportsgrid.com/wnba/game/phoenix-mercury-chicago-sky-scores-odds-picks-props-august-03-2026/90434d73-afdb-40b0-a3cc-203328533dcd
