slate_date,selected_rank,player,team,team_name,opponent,opponent_name,market,side,line,actual,settlement,model_probability,final_score,source_book,source_url
2026-06-08,1,Leila Lacan,CON,Connecticut Sun,NY,New York Liberty,THREES,UNDER,1.5,1.0,WIN,0.72545,0.87676,bet365,https://www.scoresandodds.com/wnba/props/3-pointers
2026-06-08,2,Jackie Young,LV,Las Vegas Aces,SEA,Seattle Storm,THREES,OVER,1.5,4.0,WIN,0.67292,0.81706,nan,https://www.sportsgrid.com/wnba/game/seattle-storm-las-vegas-aces-scores-odds-picks-props-june-08-2026/c903627d-c47c-4436-ad16-fe6e8a0911c5
2026-06-08,3,Caitlin Clark,IND,Indiana Fever,WSH,Washington Mystics,PA,UNDER,27.5,24.0,WIN,0.68378,0.79726,nan,https://www.sportsgrid.com/wnba/game/indiana-fever-washington-mystics-scores-odds-picks-props-june-08-2026/935271fd-c77c-4c9b-96f7-50f8bc50c3d3
