game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,over_book,under_book,sportsbook_count,game_total,spread,source_pick,source_projection,source_odds,source_book,source_market,source_url,source_event_id,source_away_abbr,source_home_abbr,game_time_et,line_last_updated,source_status,team_resolution_status
2026-05-18,Brittney Griner,2490553,CON,POR,PR,18.5,,-104,,,1,173.5,3.5,UNDER,15.8,-104,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/connecticut-sun-portland-fire-scores-odds-picks-props-may-18-2026/ea8a0f89-87a1-4c71-a458-d0fc22293bfa,,CON,POR,10:00 PM,2026-05-18T17:39:40Z,live_current,source_game_match
2026-05-18,Brittney Griner,2490553,CON,POR,PTS,13.5,,-132,,,1,173.5,3.5,UNDER,11.1,-132,FanDuel,Points,https://www.sportsgrid.com/wnba/game/connecticut-sun-portland-fire-scores-odds-picks-props-may-18-2026/ea8a0f89-87a1-4c71-a458-d0fc22293bfa,,CON,POR,10:00 PM,2026-05-18T17:39:40Z,live_current,source_game_match
2026-05-18,Bridget Carleton,3906972,POR,CON,THREES,2.5,,-146,,,1,173.5,3.5,UNDER,1.7,-146,FanDuel,3 Point FG Made,https://www.sportsgrid.com/wnba/game/connecticut-sun-portland-fire-scores-odds-picks-props-may-18-2026/ea8a0f89-87a1-4c71-a458-d0fc22293bfa,,CON,POR,10:00 PM,2026-05-18T17:39:40Z,live_current,source_game_match
2026-05-18,Arike Ogunbowale,3904577,DAL,WSH,PTS,17.5,,-130,,,1,171.5,4.5,UNDER,13.3,-130,FanDuel,Points,https://www.sportsgrid.com/wnba/game/washington-mystics-dallas-wings-scores-odds-picks-props-may-18-2026/05e5130f-d087-4f06-a748-fc6a89d60914,,WSH,DAL,8:00 PM,2026-05-18T17:39:40Z,live_current,source_game_match
2026-05-18,Arike Ogunbowale,3904577,DAL,WSH,THREES,1.5,,132,,,1,171.5,4.5,UNDER,0.5,132,FanDuel,3 Point FG Made,https://www.sportsgrid.com/wnba/game/washington-mystics-dallas-wings-scores-odds-picks-props-may-18-2026/05e5130f-d087-4f06-a748-fc6a89d60914,,WSH,DAL,8:00 PM,2026-05-18T17:39:40Z,live_current,source_game_match
2026-05-18,Odyssey Sims,2529047,DAL,WSH,PTS,9.5,-128,,,,1,171.5,4.5,OVER,11.5,-128,FanDuel,Points,https://www.sportsgrid.com/wnba/game/washington-mystics-dallas-wings-scores-odds-picks-props-may-18-2026/05e5130f-d087-4f06-a748-fc6a89d60914,,WSH,DAL,8:00 PM,2026-05-18T17:39:40Z,live_current,source_game_match
2026-05-18,Brittney Griner,2490553,CON,POR,REB,5.5,-125,110,fanduel,bet365,2,,,,5.19,,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905850,,,,2026-05-18T17:39:42Z,live_current,current_roster_match
2026-05-18,Hailey Van Lith,4433412,CON,POR,AST,4.5,125,-154,bet365,draftkings,2,,,,4.28,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905850,,,,2026-05-18T17:39:42Z,live_current,current_roster_match
2026-05-18,Hailey Van Lith,4433412,CON,POR,PA,14.5,107,-125,caesars,fanduel,2,,,,14.45,,ScoresAndOdds Best Odds,PA,https://www.scoresandodds.com/wnba/props/points-&-assists,11905850,,,,2026-05-18T17:39:42Z,live_current,current_roster_match
2026-05-18,Hailey Van Lith,4433412,CON,POR,THREES,1.5,135,-154,bet365,draftkings,2,,,,1.25,,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905850,,,,2026-05-18T17:39:42Z,live_current,current_roster_match
2026-05-18,Saniya Rivers,4433514,CON,POR,AST,4.5,110,-130,hardrock,draftkings,2,,,,4.24,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905850,,,,2026-05-18T17:39:42Z,live_current,current_roster_match
2026-05-18,Saniya Rivers,4433514,CON,POR,PA,13.5,-110,-113,bet365,caesars,2,,,,13.99,,ScoresAndOdds Best Odds,PA,https://www.scoresandodds.com/wnba/props/points-&-assists,11905850,,,,2026-05-18T17:39:42Z,live_current,current_roster_match
2026-05-18,Saniya Rivers,4433514,CON,POR,PR,11.5,-120,-105,bet365,bet365,2,,,,11.75,,ScoresAndOdds Best Odds,PR,https://www.scoresandodds.com/wnba/props/points-&-rebounds,11905850,,,,2026-05-18T17:39:42Z,live_current,current_roster_match
