game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,over_book,under_book,sportsbook_count,source_projection,source_book,source_market,source_url,source_event_id,line_last_updated,source_status,team_resolution_status
2026-07-06,Olivia Miles,4433791,MIN,CON,PTS,18.5,-106,-125,draftkings,draftkings,2,0.0,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907210,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Dominique Malonga,5220150,SEA,LA,PTS,17.5,-106,-105,fanduel,bet365,2,16.91,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907160,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Natisha Hiedeman,3906753,SEA,LA,PTS,15.5,100,-104,bet365,draftkings,2,15.02,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907160,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Rae Burrell,4398764,LA,SEA,PTS,15.5,100,-110,hardrock,draftkings,2,16.04,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907160,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Sonia Citron,4433524,WSH,GS,PTS,15.5,-113,-118,draftkings,draftkings,2,0.0,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907230,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Gabby Williams,3142328,GS,WSH,PTS,14.5,-110,100,bet365,hardrock,2,15.06,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907230,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Flau'jae Johnson,4698736,SEA,LA,PTS,12.5,100,-114,hardrock,fanduel,2,12.86,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907160,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Leila Lacan,5208981,CON,MIN,PTS,11.5,-110,-105,hardrock,bet365,2,12.32,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907210,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Veronica Burton,4398935,GS,WSH,PTS,11.5,105,-115,hardrock,bet365,2,10.83,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907230,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Maya Caldwell,4280850,MIN,CON,PTS,6.5,-137,106,caesars,fanduel,2,7.75,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907210,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Diamond Miller,4433635,CON,MIN,PTS,7.5,-130,102,fanduel,caesars,2,8.3,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907210,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Charlisse Leger-Walker,4703609,CON,MIN,PTS,9.5,-113,-112,fanduel,caesars,2,10.35,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907210,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Tiffany Hayes,1054,GS,WSH,PTS,6.5,-114,-113,fanduel,caesars,2,7.14,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907230,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Olivia Nelson-Ododa,4398966,CON,MIN,PTS,9.5,-110,-108,hardrock,draftkings,2,8.83,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907210,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Nia Coffey,3054590,MIN,CON,PTS,9.5,-105,-113,hardrock,draftkings,2,10.21,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907210,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Cecilia Zandalasini,4257500,GS,WSH,PTS,8.5,-110,100,hardrock,bet365,2,9.01,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907230,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Aaliyah Edwards,4433408,CON,MIN,PTS,8.5,-107,-124,draftkings,draftkings,2,7.64,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907210,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Jade Melbourne,5017726,SEA,LA,PTS,7.5,-121,-109,draftkings,draftkings,2,7.52,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907160,2026-07-07T03:22:43Z,live_current,current_roster_match
2026-07-06,Georgia Amoore,4704180,WSH,GS,PTS,6.5,-105,-117,bet365,draftkings,2,6.28,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907230,2026-07-07T03:22:43Z,live_current,current_roster_match
