game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,over_book,under_book,sportsbook_count,game_total,spread,source_pick,source_projection,source_odds,source_book,source_market,source_url,source_event_id,source_away_abbr,source_home_abbr,game_time_et,line_last_updated,source_status,team_resolution_status
2026-06-24,Allisha Gray,3058901,ATL,GS,PR,21.5,,-125,,,1,165.5,2.5,UNDER,16.7,-125,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/atlanta-dream-golden-state-valkyries-scores-odds-picks-props-june-24-2026/88e93c22-7796-4e0f-afd4-34bea69b1d8e,,ATL,GS,10:00 PM,2026-06-24T16:08:11Z,live_current,source_game_match
2026-06-24,Allisha Gray,3058901,ATL,GS,PTS,17.5,,-106,,,1,165.5,2.5,UNDER,13.2,-106,FanDuel,Points,https://www.sportsgrid.com/wnba/game/atlanta-dream-golden-state-valkyries-scores-odds-picks-props-june-24-2026/88e93c22-7796-4e0f-afd4-34bea69b1d8e,,ATL,GS,10:00 PM,2026-06-24T16:08:11Z,live_current,source_game_match
2026-06-24,Veronica Burton,4398935,GS,ATL,PTS,11.5,,-106,,,1,165.5,2.5,UNDER,9.8,-106,FanDuel,Points,https://www.sportsgrid.com/wnba/game/atlanta-dream-golden-state-valkyries-scores-odds-picks-props-june-24-2026/88e93c22-7796-4e0f-afd4-34bea69b1d8e,,ATL,GS,10:00 PM,2026-06-24T16:08:11Z,live_current,source_game_match
2026-06-24,Caitlin Clark,4433403,IND,PHX,PA,30.5,,-112,,,1,175.5,8.5,UNDER,26.0,-112,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/phoenix-mercury-indiana-fever-scores-odds-picks-props-june-24-2026/62f921e6-cd53-48d2-910c-17a5a4915893,,PHX,IND,7:30 PM,2026-06-24T16:08:11Z,live_current,source_game_match
2026-06-24,Caitlin Clark,4433403,IND,PHX,PTS,21.5,,-110,,,1,175.5,8.5,UNDER,18.3,-110,FanDuel,Points,https://www.sportsgrid.com/wnba/game/phoenix-mercury-indiana-fever-scores-odds-picks-props-june-24-2026/62f921e6-cd53-48d2-910c-17a5a4915893,,PHX,IND,7:30 PM,2026-06-24T16:08:11Z,live_current,source_game_match
2026-06-24,Caitlin Clark,4433403,IND,PHX,THREES,2.5,,106,,,1,175.5,8.5,UNDER,1.8,106,FanDuel,3 Point FG Made,https://www.sportsgrid.com/wnba/game/phoenix-mercury-indiana-fever-scores-odds-picks-props-june-24-2026/62f921e6-cd53-48d2-910c-17a5a4915893,,PHX,IND,7:30 PM,2026-06-24T16:08:11Z,live_current,source_game_match
2026-06-24,Courtney Williams,2987891,MIN,WSH,PTS,15.5,,-108,,,1,168.5,9.5,UNDER,13.8,-108,FanDuel,Points,https://www.sportsgrid.com/wnba/game/minnesota-lynx-washington-mystics-scores-odds-picks-props-june-24-2026/e0ee4127-6399-46c5-972f-9b354e332673,,MIN,WSH,7:30 PM,2026-06-24T16:08:11Z,live_current,source_game_match
2026-06-24,Nia Coffey,3054590,MIN,WSH,PR,14.5,,-118,,,1,168.5,9.5,UNDER,11.0,-118,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/minnesota-lynx-washington-mystics-scores-odds-picks-props-june-24-2026/e0ee4127-6399-46c5-972f-9b354e332673,,MIN,WSH,7:30 PM,2026-06-24T16:08:11Z,live_current,source_game_match
2026-06-24,Nia Coffey,3054590,MIN,WSH,PTS,8.5,,-122,,,1,168.5,9.5,UNDER,6.1,-122,FanDuel,Points,https://www.sportsgrid.com/wnba/game/minnesota-lynx-washington-mystics-scores-odds-picks-props-june-24-2026/e0ee4127-6399-46c5-972f-9b354e332673,,MIN,WSH,7:30 PM,2026-06-24T16:08:11Z,live_current,source_game_match
2026-06-24,Skylar Diggins,2491205,CHI,POR,PA,20.5,,-108,,,1,170.5,3.5,UNDER,14.2,-108,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/portland-fire-chicago-sky-scores-odds-picks-props-june-24-2026/a34d98fd-b030-4637-ad98-04c4e2da23e1,,POR,CHI,8:00 PM,2026-06-24T16:08:11Z,live_current,source_game_match
