game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,sportsbook_count,game_total,spread,source_pick,source_projection,source_odds,source_book,source_market,source_url,source_away_abbr,source_home_abbr,game_time_et,line_last_updated,source_status,team_resolution_status
2026-08-15,Brittney Griner,2490553,CON,NY,PR,18.5,-102,,1,171.5,7.5,OVER,24.2,-102,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/new-york-liberty-connecticut-sun-scores-odds-picks-props-august-15-2026/7eb5982b-de46-40f3-ac5f-4c5f651e3485,NY,CON,1:00 PM,2026-08-15T15:42:51Z,preserved_same_day,source_game_match
2026-08-15,Brittney Griner,2490553,CON,NY,PTS,11.5,-128,,1,171.5,7.5,OVER,16.2,-128,FanDuel,Points,https://www.sportsgrid.com/wnba/game/new-york-liberty-connecticut-sun-scores-odds-picks-props-august-15-2026/7eb5982b-de46-40f3-ac5f-4c5f651e3485,NY,CON,1:00 PM,2026-08-15T15:42:51Z,preserved_same_day,source_game_match
2026-08-15,Brittney Griner,2490553,CON,NY,REB,6.5,116,,1,171.5,7.5,OVER,8.0,116,FanDuel,Rebounds,https://www.sportsgrid.com/wnba/game/new-york-liberty-connecticut-sun-scores-odds-picks-props-august-15-2026/7eb5982b-de46-40f3-ac5f-4c5f651e3485,NY,CON,1:00 PM,2026-08-15T15:42:51Z,preserved_same_day,source_game_match
2026-08-15,Nneka Ogwumike,1068,LA,WSH,PA,18.5,-104,,1,171.5,6.5,OVER,21.6,-104,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/los-angeles-sparks-washington-mystics-scores-odds-picks-props-august-15-2026/b453f5ea-f669-49b2-bbb5-3febd8d4d866,LA,WSH,7:30 PM,2026-08-15T19:42:12Z,live_current,source_game_match
2026-08-15,Nneka Ogwumike,1068,LA,WSH,PR,23.5,-112,,1,171.5,6.5,OVER,27.1,-112,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/los-angeles-sparks-washington-mystics-scores-odds-picks-props-august-15-2026/b453f5ea-f669-49b2-bbb5-3febd8d4d866,LA,WSH,7:30 PM,2026-08-15T19:42:12Z,live_current,source_game_match
2026-08-15,Nneka Ogwumike,1068,LA,WSH,PTS,15.5,104,,1,171.5,6.5,OVER,17.8,104,FanDuel,Points,https://www.sportsgrid.com/wnba/game/los-angeles-sparks-washington-mystics-scores-odds-picks-props-august-15-2026/b453f5ea-f669-49b2-bbb5-3febd8d4d866,LA,WSH,7:30 PM,2026-08-15T19:42:12Z,live_current,source_game_match
2026-08-15,Kayla McBride,2529205,MIN,LV,THREES,2.5,-158,,1,182.5,2.5,OVER,3.7,-158,FanDuel,3 Point FG Made,https://www.sportsgrid.com/wnba/game/minnesota-lynx-las-vegas-aces-scores-odds-picks-props-august-15-2026/025b9908-ecc0-412a-a3a7-e2e924afe6fb,MIN,LV,8:00 PM,2026-08-15T19:42:12Z,live_current,source_game_match
2026-08-15,Napheesa Collier,3917450,MIN,LV,PR,26.5,,-106,1,182.5,1.5,UNDER,22.5,-106,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/minnesota-lynx-las-vegas-aces-scores-odds-picks-props-august-15-2026/025b9908-ecc0-412a-a3a7-e2e924afe6fb,MIN,LV,8:00 PM,2026-08-15T15:42:51Z,preserved_same_day,source_game_match
2026-08-15,Napheesa Collier,3917450,MIN,LV,PR,27.5,,-125,1,182.5,2.5,UNDER,22.5,-125,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/minnesota-lynx-las-vegas-aces-scores-odds-picks-props-august-15-2026/025b9908-ecc0-412a-a3a7-e2e924afe6fb,MIN,LV,8:00 PM,2026-08-15T19:42:12Z,live_current,source_game_match
2026-08-15,Napheesa Collier,3917450,MIN,LV,PTS,19.5,,-114,1,182.5,2.5,UNDER,16.1,-114,FanDuel,Points,https://www.sportsgrid.com/wnba/game/minnesota-lynx-las-vegas-aces-scores-odds-picks-props-august-15-2026/025b9908-ecc0-412a-a3a7-e2e924afe6fb,MIN,LV,8:00 PM,2026-08-15T19:42:12Z,live_current,source_game_match
2026-08-15,Natasha Howard,2529130,MIN,LV,PTS,12.5,100,,1,182.5,1.5,OVER,14.0,100,FanDuel,Points,https://www.sportsgrid.com/wnba/game/minnesota-lynx-las-vegas-aces-scores-odds-picks-props-august-15-2026/025b9908-ecc0-412a-a3a7-e2e924afe6fb,MIN,LV,8:00 PM,2026-08-15T15:42:51Z,preserved_same_day,source_game_match
