"game_date","player","player_id","team","opponent","is_home","market","line","over_odds","under_odds","sportsbook_count","game_total","spread","line_last_updated","source_book","source_url","source_note","backfill_rank","backfill_priority_score","pregame_projection","pregame_projected_minutes","pregame_sample_size","recent_games","fill_priority_note"
"2026-07-06","Aaliyah Edwards","4433408","CON","MIN","0","PTS","8.5","-102","-130","3","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, theScore","","","","","","",""
"2026-07-06","Aaliyah Edwards","4433408","CON","MIN","0","REB","3.5","-162","121","3","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, theScore","","","","","","",""
"2026-07-06","Ariel Atkins","3146151","LA","SEA","1","PTS","10.5","-1","-132","2","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, theScore","","","","","","",""
"2026-07-06","Ariel Atkins","3146151","LA","SEA","1","THREES","1.5","160","-220","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Awa Fam","5345325","SEA","LA","0","PTS","11.5","-127","-107","3","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, theScore","","","","","","",""
"2026-07-06","Awa Fam","5345325","SEA","LA","0","REB","5.5","117","-155","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Awa Fam","5345325","SEA","LA","0","THREES","1.5","-105","-135","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Brittney Griner","2490553","CON","MIN","0","PTS","11.5","-104","-129","3","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, theScore","","","","","","",""
"2026-07-06","Brittney Griner","2490553","CON","MIN","0","REB","5.5","-106","-121","3","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, theScore","","","","","","",""
"2026-07-06","Cecilia Zandalasini","4257500","GS","WAS","0","PTS","8.5","-120","-114","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
