game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,sportsbook_count,source_projection,source_book,source_market,source_url,source_event_id,line_last_updated
2026-05-08,Julie Allemand,4001679,TOR,WSH,PTS,7.5,-105,-120,2,7.46,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905650,2026-05-08T23:27:20Z
2026-05-08,Dominique Malonga,5220150,SEA,GS,REB,9.5,100,-115,2,8.84,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905840,2026-05-08T23:27:20Z
2026-05-08,Shakira Austin,4398911,WSH,TOR,REB,7.5,116,-135,2,7.21,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905650,2026-05-08T23:27:20Z
2026-05-08,Temi Fagbenle,2569044,TOR,WSH,REB,6.5,-132,115,2,6.76,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905650,2026-05-08T23:27:20Z
2026-05-08,Ezi Magbegor,4420318,SEA,GS,REB,6.5,-135,105,2,0.0,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905840,2026-05-08T23:27:20Z
2026-05-08,Sabrina Ionescu,4066533,NY,CON,REB,4.5,-135,105,2,0.0,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905880,2026-05-08T23:27:20Z
2026-05-08,Aaliyah Edwards,4433408,CON,NY,REB,6.5,-130,102,2,0.0,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905880,2026-05-08T23:27:20Z
2026-05-08,Lauren Betts,5105737,WSH,TOR,REB,6.5,116,-130,2,6.59,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905650,2026-05-08T23:27:20Z
2026-05-08,Kayla Thornton,2529622,GS,SEA,REB,6.5,100,-120,2,6.37,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905840,2026-05-08T23:27:20Z
2026-05-08,Nyara Sabally,4398768,TOR,WSH,REB,5.5,-140,120,2,5.73,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905650,2026-05-08T23:27:20Z
2026-05-08,Awa Fam,,,,REB,5.5,-145,115,2,0.0,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905840,2026-05-08T23:27:20Z
2026-05-08,Satou Sabally,4281929,PHX,LV,REB,5.5,-130,102,2,0.0,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905880,2026-05-08T23:27:20Z
2026-05-08,Julie Allemand,4001679,TOR,WSH,REB,4.5,-115,-110,2,4.64,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905650,2026-05-08T23:27:20Z
2026-05-08,Gabby Williams,3142328,SEA,GS,REB,4.5,115,-130,2,4.36,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905840,2026-05-08T23:27:20Z
2026-05-08,Veronica Burton,4398935,GS,SEA,REB,4.5,100,-114,2,4.58,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905840,2026-05-08T23:27:20Z
2026-05-08,Kia Nurse,3142327,TOR,WSH,REB,3.5,-135,105,2,3.05,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905650,2026-05-08T23:27:20Z
2026-05-08,Sonia Citron,4433524,WSH,TOR,REB,3.5,-130,115,2,3.16,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905650,2026-05-08T23:27:20Z
2026-05-08,Flau'jae Johnson,4698736,SEA,GS,REB,3.5,-125,102,2,3.48,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905840,2026-05-08T23:27:20Z
2026-05-08,Brittney Sykes,2988756,TOR,WSH,REB,3.5,-104,-120,2,3.36,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905650,2026-05-08T23:27:20Z
2026-05-08,Saniya Rivers,4433514,CON,NY,REB,3.5,121,-125,2,3.02,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905880,2026-05-08T23:27:20Z
2026-05-08,Betnijah Laney-Hamilton,2593770,NY,CON,REB,3.5,110,-132,2,3.38,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905880,2026-05-08T23:27:20Z
2026-05-08,Marine Johannes,4038379,NY,CON,REB,2.5,-135,105,2,2.62,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905880,2026-05-08T23:27:20Z
2026-05-08,Kennedy Burke,3922628,CON,NY,REB,2.5,-130,102,2,2.78,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905880,2026-05-08T23:27:20Z
2026-05-08,Jade Melbourne,5017726,SEA,GS,REB,1.5,-155,122,2,1.69,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905840,2026-05-08T23:27:20Z
2026-05-08,Georgia Amoore,4704180,WSH,TOR,REB,1.5,-145,115,2,1.4,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905650,2026-05-08T23:27:20Z
