game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,sportsbook_count,game_total,spread,source_pick,source_projection,source_odds,source_book,source_market,source_url,source_away_abbr,source_home_abbr,game_time_et,line_last_updated,source_status,team_resolution_status
2026-07-11,Sabrina Ionescu,4066533,NY,MIN,PA,19.5,,-106,1,172.5,5.5,UNDER,14.1,-106,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/new-york-liberty-minnesota-lynx-scores-odds-picks-props-july-11-2026/2428b1cb-bf27-47bf-95d2-fbba065dd410,NY,MIN,1:00 PM,2026-07-11T15:41:25Z,preserved_same_day,source_game_match
2026-07-11,Sabrina Ionescu,4066533,NY,MIN,PTS,14.5,,-102,1,172.5,5.5,UNDER,9.9,-102,FanDuel,Points,https://www.sportsgrid.com/wnba/game/new-york-liberty-minnesota-lynx-scores-odds-picks-props-july-11-2026/2428b1cb-bf27-47bf-95d2-fbba065dd410,NY,MIN,1:00 PM,2026-07-11T15:41:25Z,preserved_same_day,source_game_match
2026-07-11,Sabrina Ionescu,4066533,NY,MIN,THREES,2.5,,-152,1,172.5,5.5,UNDER,1.5,-152,FanDuel,3 Point FG Made,https://www.sportsgrid.com/wnba/game/new-york-liberty-minnesota-lynx-scores-odds-picks-props-july-11-2026/2428b1cb-bf27-47bf-95d2-fbba065dd410,NY,MIN,1:00 PM,2026-07-11T15:41:25Z,preserved_same_day,source_game_match
2026-07-11,Angel Reese,4433402,ATL,POR,PR,27.5,,-125,1,173.5,13.5,UNDER,23.7,-125,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/portland-fire-atlanta-dream-scores-odds-picks-props-july-11-2026/8995fd51-58f0-4d34-aba9-eed0a2b1139b,POR,ATL,4:00 PM,2026-07-11T15:41:25Z,preserved_same_day,source_game_match
2026-07-11,Angel Reese,4433402,ATL,POR,RA,14.5,,-128,1,173.5,13.5,UNDER,11.3,-128,FanDuel,Reb + Ast,https://www.sportsgrid.com/wnba/game/portland-fire-atlanta-dream-scores-odds-picks-props-july-11-2026/8995fd51-58f0-4d34-aba9-eed0a2b1139b,POR,ATL,4:00 PM,2026-07-11T15:41:25Z,preserved_same_day,source_game_match
2026-07-11,Angel Reese,4433402,ATL,POR,REB,11.5,,-102,1,173.5,13.5,UNDER,9.9,-102,FanDuel,Rebounds,https://www.sportsgrid.com/wnba/game/portland-fire-atlanta-dream-scores-odds-picks-props-july-11-2026/8995fd51-58f0-4d34-aba9-eed0a2b1139b,POR,ATL,4:00 PM,2026-07-11T15:41:25Z,preserved_same_day,source_game_match
2026-07-11,Bridget Carleton,3906972,POR,ATL,THREES,2.5,,-158,1,173.5,13.5,UNDER,2.0,-158,FanDuel,3 Point FG Made,https://www.sportsgrid.com/wnba/game/portland-fire-atlanta-dream-scores-odds-picks-props-july-11-2026/8995fd51-58f0-4d34-aba9-eed0a2b1139b,POR,ATL,4:00 PM,2026-07-11T19:47:54Z,live_current,source_game_match
2026-07-11,Megan Gustafson,3934218,POR,ATL,PR,16.5,,-112,1,173.5,13.5,UNDER,12.8,-112,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/portland-fire-atlanta-dream-scores-odds-picks-props-july-11-2026/8995fd51-58f0-4d34-aba9-eed0a2b1139b,POR,ATL,4:00 PM,2026-07-11T19:47:54Z,live_current,source_game_match
2026-07-11,Megan Gustafson,3934218,POR,ATL,PTS,12.5,,-128,1,173.5,13.5,UNDER,8.7,-128,FanDuel,Points,https://www.sportsgrid.com/wnba/game/portland-fire-atlanta-dream-scores-odds-picks-props-july-11-2026/8995fd51-58f0-4d34-aba9-eed0a2b1139b,POR,ATL,4:00 PM,2026-07-11T19:47:54Z,live_current,source_game_match
2026-07-11,A'ja Wilson,3149391,LV,PHX,PTS,24.5,,-108,1,169.5,8.5,UNDER,22.7,-108,FanDuel,Points,https://www.sportsgrid.com/wnba/game/phoenix-mercury-las-vegas-aces-scores-odds-picks-props-july-11-2026/b01f2b51-2736-45fd-82b9-a4dd20a67ffd,PHX,LV,6:00 PM,2026-07-11T19:47:54Z,live_current,source_game_match
2026-07-11,Jackie Young,4065870,LV,PHX,PTS,16.5,-125,,1,169.5,8.5,OVER,18.5,-125,FanDuel,Points,https://www.sportsgrid.com/wnba/game/phoenix-mercury-las-vegas-aces-scores-odds-picks-props-july-11-2026/b01f2b51-2736-45fd-82b9-a4dd20a67ffd,PHX,LV,6:00 PM,2026-07-11T19:47:54Z,live_current,source_game_match
2026-07-11,Jewell Loyd,2987869,LV,PHX,PTS,8.5,,102,1,170.5,9.5,UNDER,5.8,102,FanDuel,Points,https://www.sportsgrid.com/wnba/game/phoenix-mercury-las-vegas-aces-scores-odds-picks-props-july-11-2026/b01f2b51-2736-45fd-82b9-a4dd20a67ffd,PHX,LV,6:00 PM,2026-07-11T15:41:25Z,preserved_same_day,source_game_match
2026-07-11,Jewell Loyd,2987869,LV,PHX,PTS,9.5,,-102,1,169.5,8.5,UNDER,6.9,-102,FanDuel,Points,https://www.sportsgrid.com/wnba/game/phoenix-mercury-las-vegas-aces-scores-odds-picks-props-july-11-2026/b01f2b51-2736-45fd-82b9-a4dd20a67ffd,PHX,LV,6:00 PM,2026-07-11T19:47:54Z,live_current,source_game_match
