game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,over_book,under_book,sportsbook_count,game_total,spread,source_pick,source_projection,source_odds,source_book,source_market,source_url,source_event_id,source_away_abbr,source_home_abbr,game_time_et,line_last_updated,source_status,team_resolution_status
2026-05-24,Allisha Gray,3058901,ATL,PHX,AST,2.5,-130,102,bet365,bet365,2,,,,2.62,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Allisha Gray,3058901,ATL,PHX,PTS,19.5,-119,100,draftkings,bet365,2,,,,19.68,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Allisha Gray,3058901,ATL,PHX,RA,7.5,-110,-115,bet365,bet365,2,,,,7.39,,ScoresAndOdds Best Odds,RA,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Allisha Gray,3058901,ATL,PHX,REB,4.5,-135,109,bet365,draftkings,2,,,,4.77,,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Angel Reese,4433402,ATL,PHX,PR,25.5,-110,-115,bet365,bet365,2,,,,26.31,,ScoresAndOdds Best Odds,PR,https://www.scoresandodds.com/wnba/props/points-&-rebounds,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Angel Reese,4433402,ATL,PHX,PRA,28.5,-115,-110,bet365,bet365,2,,,,28.85,,ScoresAndOdds Best Odds,PRA,"https://www.scoresandodds.com/wnba/props/points,-rebounds,-&-assists",11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Angel Reese,4433402,ATL,PHX,REB,12.5,103,-125,draftkings,bet365,2,,,,11.64,,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Jordin Canada,3142250,ATL,PHX,AST,5.5,-103,-115,draftkings,bet365,2,,,,6.17,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Jordin Canada,3142250,ATL,PHX,PRA,19.5,-112,-121,draftkings,draftkings,2,,,,19.16,,ScoresAndOdds Best Odds,PRA,"https://www.scoresandodds.com/wnba/props/points,-rebounds,-&-assists",11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Jordin Canada,3142250,ATL,PHX,PTS,10.5,-104,-105,draftkings,bet365,2,,,,11.32,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Naz Hillmon,4398915,ATL,PHX,PR,14.5,-113,-121,draftkings,draftkings,2,,,,14.56,,ScoresAndOdds Best Odds,PR,https://www.scoresandodds.com/wnba/props/points-&-rebounds,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Naz Hillmon,4398915,ATL,PHX,PTS,8.5,-123,-108,draftkings,draftkings,2,,,,8.76,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Naz Hillmon,4398915,ATL,PHX,REB,5.5,-114,-119,draftkings,draftkings,2,,,,5.8,,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Rhyne Howard,4398674,ATL,PHX,AST,4.5,-102,-110,draftkings,bet365,2,,,,4.23,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Rhyne Howard,4398674,ATL,PHX,PA,20.5,-125,100,bet365,bet365,2,,,,22.39,,ScoresAndOdds Best Odds,PA,https://www.scoresandodds.com/wnba/props/points-&-assists,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Rhyne Howard,4398674,ATL,PHX,PTS,16.5,-108,-110,draftkings,bet365,2,,,,18.16,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Rhyne Howard,4398674,ATL,PHX,RA,8.5,-120,-105,bet365,bet365,2,,,,8.18,,ScoresAndOdds Best Odds,RA,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Rhyne Howard,4398674,ATL,PHX,REB,3.5,-150,124,bet365,draftkings,2,,,,3.95,,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Rhyne Howard,4398674,ATL,PHX,THREES,2.5,-112,-106,bet365,draftkings,2,,,,2.7,,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11906020,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Arike Ogunbowale,3904577,DAL,NY,AST,2.5,-123,112,draftkings,fanduel,2,,,,3.24,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Arike Ogunbowale,3904577,DAL,NY,PA,18.5,-120,-104,draftkings,fanduel,2,,,,19.51,,ScoresAndOdds Best Odds,PA,https://www.scoresandodds.com/wnba/props/points-&-assists,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Arike Ogunbowale,3904577,DAL,NY,PR,18.5,-112,-121,draftkings,draftkings,2,,,,18.94,,ScoresAndOdds Best Odds,PR,https://www.scoresandodds.com/wnba/props/points-&-rebounds,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Arike Ogunbowale,3904577,DAL,NY,PRA,21.5,-105,-125,hardrock,hardrock,2,,,,22.18,,ScoresAndOdds Best Odds,PRA,"https://www.scoresandodds.com/wnba/props/points,-rebounds,-&-assists",11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Arike Ogunbowale,3904577,DAL,NY,REB,2.5,121,-140,draftkings,hardrock,2,,,,2.67,,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Arike Ogunbowale,3904577,DAL,NY,THREES,1.5,-158,145,fanduel,bet365,2,,,,1.98,,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Azzi Fudd,4433790,DAL,NY,PTS,8.5,102,-110,bet365,hardrock,2,,,,8.34,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Jessica Shepard,3906949,DAL,NY,AST,4.5,-114,102,fanduel,bet365,2,,,,4.6,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Jessica Shepard,3906949,DAL,NY,RA,13.5,-118,105,fanduel,bet365,2,,,,14.86,,ScoresAndOdds Best Odds,RA,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Odyssey Sims,2529047,DAL,NY,AST,3.5,124,-162,draftkings,fanduel,2,,,,2.92,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Odyssey Sims,2529047,DAL,NY,PA,11.5,-102,-130,fanduel,fanduel,2,,,,11.21,,ScoresAndOdds Best Odds,PA,https://www.scoresandodds.com/wnba/props/points-&-assists,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Paige Bueckers,4433730,DAL,NY,AST,5.5,102,-125,bet365,fanduel,2,,,,5.25,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Paige Bueckers,4433730,DAL,NY,PTS,18.5,-112,-108,bet365,draftkings,2,,,,18.57,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Paige Bueckers,4433730,DAL,NY,RA,8.5,-125,112,bet365,fanduel,2,,,,9.18,,ScoresAndOdds Best Odds,RA,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Paige Bueckers,4433730,DAL,NY,REB,3.5,122,-130,bet365,fanduel,2,,,,3.93,,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Paige Bueckers,4433730,DAL,NY,THREES,1.5,120,-150,bet365,bet365,2,,,,1.43,,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Breanna Stewart,2998928,NY,DAL,AST,2.5,-135,105,bet365,bet365,2,,,,3.03,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Breanna Stewart,2998928,NY,DAL,REB,8.5,113,-130,draftkings,bet365,2,,,,7.61,,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Breanna Stewart,2998928,NY,DAL,THREES,0.5,-218,180,draftkings,bet365,2,,,,0.76,,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Jonquel Jones,2999101,NY,DAL,AST,2.5,105,-129,bet365,draftkings,2,,,,2.74,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Jonquel Jones,2999101,NY,DAL,PTS,12.5,-110,-100,hardrock,fanduel,2,,,,11.8,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
2026-05-24,Jonquel Jones,2999101,NY,DAL,RA,10.5,-112,-104,bet365,fanduel,2,,,,10.44,,ScoresAndOdds Best Odds,RA,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,11906060,,,,2026-05-24T20:18:34Z,live_current,current_roster_match
