game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,sportsbook_count,game_total,spread,source_pick,source_projection,source_odds,source_book,source_market,source_url,source_away_abbr,source_home_abbr,game_time_et,line_last_updated,source_status,team_resolution_status
2026-07-09,Kelsey Mitchell,3142191,IND,PHX,PA,27.5,,-130,1,171.5,1.5,UNDER,20.9,-130,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/indiana-fever-phoenix-mercury-scores-odds-picks-props-july-09-2026/45e1e37b-faac-4468-8721-022a9a543a27,IND,PHX,10:00 PM,2026-07-09T16:16:13Z,preserved_same_day,source_game_match
2026-07-09,Kelsey Mitchell,3142191,IND,PHX,PA,26.5,,-102,1,171.5,1.5,UNDER,20.9,-102,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/indiana-fever-phoenix-mercury-scores-odds-picks-props-july-09-2026/45e1e37b-faac-4468-8721-022a9a543a27,IND,PHX,10:00 PM,2026-07-09T20:03:12Z,live_current,source_game_match
2026-07-09,Kelsey Mitchell,3142191,IND,PHX,PR,26.5,,-130,1,171.5,1.5,UNDER,20.4,-130,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/indiana-fever-phoenix-mercury-scores-odds-picks-props-july-09-2026/45e1e37b-faac-4468-8721-022a9a543a27,IND,PHX,10:00 PM,2026-07-09T16:16:13Z,preserved_same_day,source_game_match
2026-07-09,Kelsey Mitchell,3142191,IND,PHX,PR,25.5,,-104,1,171.5,1.5,UNDER,20.4,-104,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/indiana-fever-phoenix-mercury-scores-odds-picks-props-july-09-2026/45e1e37b-faac-4468-8721-022a9a543a27,IND,PHX,10:00 PM,2026-07-09T20:03:12Z,live_current,source_game_match
2026-07-09,Kelsey Mitchell,3142191,IND,PHX,PTS,23.5,,-106,1,171.5,1.5,UNDER,18.0,-106,FanDuel,Points,https://www.sportsgrid.com/wnba/game/indiana-fever-phoenix-mercury-scores-odds-picks-props-july-09-2026/45e1e37b-faac-4468-8721-022a9a543a27,IND,PHX,10:00 PM,2026-07-09T20:03:12Z,live_current,source_game_match
2026-07-09,A'ja Wilson,3149391,LV,POR,PR,31.5,-114,,1,174.5,8.5,OVER,34.7,-114,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/las-vegas-aces-portland-fire-scores-odds-picks-props-july-09-2026/0450c2d8-39fb-4ceb-9c87-bb1e8c5ce7f8,LV,POR,10:00 PM,2026-07-09T20:03:12Z,live_current,source_game_match
2026-07-09,A'ja Wilson,3149391,LV,POR,REB,7.5,-148,,1,174.5,8.5,OVER,10.3,-148,FanDuel,Rebounds,https://www.sportsgrid.com/wnba/game/las-vegas-aces-portland-fire-scores-odds-picks-props-july-09-2026/0450c2d8-39fb-4ceb-9c87-bb1e8c5ce7f8,LV,POR,10:00 PM,2026-07-09T20:03:12Z,live_current,source_game_match
2026-07-09,Jackie Young,4065870,LV,POR,PTS,17.5,-125,,1,174.5,8.5,OVER,20.5,-125,FanDuel,Points,https://www.sportsgrid.com/wnba/game/las-vegas-aces-portland-fire-scores-odds-picks-props-july-09-2026/0450c2d8-39fb-4ceb-9c87-bb1e8c5ce7f8,LV,POR,10:00 PM,2026-07-09T20:03:12Z,live_current,source_game_match
2026-07-09,Jordin Canada,3142250,ATL,SEA,PA,17.5,,102,1,168.5,11.5,UNDER,15.2,102,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/seattle-storm-atlanta-dream-scores-odds-picks-props-july-09-2026/15b8be23-7bf8-48a9-9210-c20e9bb9434a,SEA,ATL,8:00 PM,2026-07-09T20:03:12Z,live_current,source_game_match
2026-07-09,Natisha Hiedeman,3906753,SEA,ATL,PA,19.5,-120,,1,168.5,11.5,OVER,22.8,-120,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/seattle-storm-atlanta-dream-scores-odds-picks-props-july-09-2026/15b8be23-7bf8-48a9-9210-c20e9bb9434a,SEA,ATL,8:00 PM,2026-07-09T20:03:12Z,live_current,source_game_match
2026-07-09,Natisha Hiedeman,3906753,SEA,ATL,PRA,22.5,-102,,1,167.5,10.5,OVER,26.5,-102,FanDuel,Pts + Reb + Ast,https://www.sportsgrid.com/wnba/game/seattle-storm-atlanta-dream-scores-odds-picks-props-july-09-2026/15b8be23-7bf8-48a9-9210-c20e9bb9434a,SEA,ATL,8:00 PM,2026-07-09T16:16:13Z,preserved_same_day,source_game_match
2026-07-09,Natisha Hiedeman,3906753,SEA,ATL,PTS,14.5,-125,,1,168.5,11.5,OVER,19.1,-125,FanDuel,Points,https://www.sportsgrid.com/wnba/game/seattle-storm-atlanta-dream-scores-odds-picks-props-july-09-2026/15b8be23-7bf8-48a9-9210-c20e9bb9434a,SEA,ATL,8:00 PM,2026-07-09T20:03:11Z,live_current,source_game_match
