selected_rank,candidate_id,slate_date,player,team,opponent,matchup_key,game_time_et,market,side,line,sportsbook_count,projected_value,line_gap,abs_line_gap,wf_confidence,meta_prob_correct,projected_minutes,minutes_volatility,starter_rate_last10,lineup_status,availability_status,rotation_rank,minutes_trend,data_completeness_score,stake_level,team_recent_win_pct,opponent_recent_win_pct,market_synergy_boost,market_synergy_drag,estimated_accuracy_prior_pct,tier,model_action,base_score,context_score,context_adjustment,correlation_penalty,final_score,risk_flags,context_flags,premium_pockets
,5b5cf879ac56177d2a40,2026-05-09,Cade Cunningham,DET,CLE,DET@CLE,"May 9, 3:00 PM",PRA,OVER,41.5,11,38.99,-2.51,2.51,0.687239,0.496852,41.95,5.92,,CONFIRMED,,1,2.19,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.735196,0.61,0,0.2,0.535196,projection_side_split; recent_form_mismatch,recent_form_mismatch,
,50e122ab037e473ea8b7,2026-05-09,Chet Holmgren,OKC,LAL,OKC@LAL,"May 9, 8:30 PM",PA,UNDER,18.5,9,19.61,1.11,1.11,0.741904,0.740244,32.41,5.36,,EXPECTED,,2,4.85,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.734127,0.54,0,0.025,0.709127,projection_side_split; minutes_trend_against_side; recent_form_mismatch,minutes_trend_against_side; recent_form_mismatch,
,7b1ff89a505c8a4cf801,2026-05-09,Luke Kennard,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",THREES,OVER,1.5,9,2.22,0.72,0.72,0.78441,0.803246,27.36,8.98,,EXPECTED,,6,-3.35,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.731782,0.45,0,0.07,0.661782,auxiliary_side_sample_risk; volatile_minutes; minutes_trend_against_side; recent_form_mismatch,volatile_minutes; minutes_trend_against_side; recent_form_mismatch,
,891ffadfabcf13458ffe,2026-05-09,Evan Mobley,CLE,DET,DET@CLE,"May 9, 3:00 PM",PA,UNDER,18.5,9,19.13,0.63,0.63,0.74932,0.734425,34.79,4.84,,CONFIRMED,,3,0.06,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.724497,0.585,0,0.025,0.699497,projection_side_split; recent_form_mismatch,recent_form_mismatch,
,8522063ba36b310c562b,2026-05-09,James Harden,CLE,DET,DET@CLE,"May 9, 3:00 PM",RA,OVER,11.5,10,12.56,1.06,1.06,0.706545,0.664237,38.57,4.67,,CONFIRMED,,1,0.61,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.723438,0.585,0,0.025,0.698438,recent_form_mismatch,recent_form_mismatch,
,010b4a6b963da6df7bda,2026-05-09,Deandre Ayton,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",PTS,OVER,9.5,9,11.97,2.47,2.47,0.670386,0.520703,29.7,4.15,,EXPECTED,,7,-2.21,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.722268,0.54,0,0.076,0.646268,minutes_trend_against_side; recent_form_mismatch,minutes_trend_against_side; recent_form_mismatch,
,776f5efecda838a8e0ac,2026-05-09,Cade Cunningham,DET,CLE,DET@CLE,"May 9, 3:00 PM",PA,UNDER,35.5,10,33.78,-1.72,1.72,0.681957,0.560588,41.95,5.92,,CONFIRMED,,1,2.19,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.722101,0.56,0,0.07,0.652101,minutes_trend_against_side; recent_form_mismatch,minutes_trend_against_side; recent_form_mismatch,
,c8760ee919717970af90,2026-05-09,Dean Wade,CLE,DET,DET@CLE,"May 9, 3:00 PM",THREES,OVER,0.5,8,1.27,0.77,0.77,0.787496,0.782652,25.13,3.75,,CONFIRMED,,6,0.07,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.722071,0.62,0,0.025,0.697071,auxiliary_side_sample_risk; recent_form_mismatch,recent_form_mismatch,
,b7b3e047b0b0d64f8b81,2026-05-09,Deandre Ayton,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",PRA,OVER,19.5,9,23.75,4.25,4.25,0.59658,0.511086,29.7,4.15,,EXPECTED,,7,-2.21,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.72177,0.54,0,0.07,0.65177,minutes_trend_against_side; recent_form_mismatch,minutes_trend_against_side; recent_form_mismatch,
,8fbaa64fc42d82aca28d,2026-05-09,Jalen Duren,DET,CLE,DET@CLE,"May 9, 3:00 PM",PR,UNDER,25.5,10,23.61,-1.89,1.89,0.646262,0.570582,33.73,4.17,,CONFIRMED,,4,4.25,100,PLAYOFF_HIGH_LEVERAGE,1,0,9.4,0,,C,COVERAGE,0.721159,0.525,0,0.07,0.651159,minutes_trend_against_side; teammate_synergy_against_side; recent_form_mismatch,minutes_trend_against_side; teammate_synergy_against_side; recent_form_mismatch,
