selected_rank,candidate_id,slate_date,player,team,opponent,matchup_key,game_time_et,market,side,line,sportsbook_count,projected_value,line_gap,abs_line_gap,wf_confidence,meta_prob_correct,projected_minutes,minutes_volatility,starter_rate_last10,lineup_status,availability_status,rotation_rank,minutes_trend,data_completeness_score,stake_level,team_recent_win_pct,opponent_recent_win_pct,market_synergy_boost,market_synergy_drag,estimated_accuracy_prior_pct,tier,model_action,base_score,context_score,context_adjustment,correlation_penalty,final_score,risk_flags,context_flags,premium_pockets
1,3323895cda2f1884822c,2026-05-09,Marcus Smart,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",AST,UNDER,3.5,10,5.35,1.85,1.85,0.719388,0.62764,34.13,5.76,,EXPECTED,,5,1.58,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,90.16,B,SELECTED,0.834461,0.565,0,0,0.834461,projection_side_split; recent_form_mismatch,recent_form_mismatch,
2,5b5cf879ac56177d2a40,2026-05-09,Cade Cunningham,DET,CLE,DET@CLE,"May 9, 3:00 PM",PRA,OVER,41.5,11,38.99,-2.51,2.51,0.687239,0.496852,41.95,5.92,,CONFIRMED,,1,2.19,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,89.06,C,SELECTED,0.802684,0.61,0,0,0.802684,projection_side_split; recent_form_mismatch,recent_form_mismatch,
3,fb60cb2b85d741995918,2026-05-09,Isaiah Joe,OKC,LAL,OKC@LAL,"May 9, 8:30 PM",PTS,OVER,3.5,4,5.72,2.22,2.22,0.854921,0.814117,11.66,4.63,,EXPECTED,,11,-5.41,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,89.61,B,SELECTED,0.79719,0.44,-0.025,0.025,0.77219,low_projected_minutes; wide_minutes_range; minutes_trend_against_side; recent_form_mismatch; high_stakes_bench_role,wide_minutes_range; minutes_trend_against_side; recent_form_mismatch; high_stakes_bench_role,
4,219a67ec2680f174455d,2026-05-09,Jarrett Allen,CLE,DET,DET@CLE,"May 9, 3:00 PM",PTS,UNDER,11.5,11,12.71,1.21,1.21,0.673007,0.549607,28.91,4.3,,CONFIRMED,,4,-0.22,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,90.16,B,SELECTED,0.789638,0.585,0,0.031,0.758638,projection_side_split; recent_form_mismatch,recent_form_mismatch,
