selected_rank,candidate_id,slate_date,player,team,opponent,matchup_key,game_time_et,market,side,line,projected_value,line_gap,wf_confidence,meta_prob_correct,estimated_accuracy_prior_pct,tier,model_action,base_score,correlation_penalty,final_score,risk_flags,premium_pockets
2,956704b5876bdbfd7721,2026-05-05,Jarrett Allen,CLE,DET,CLE@DET,"May 5, 7:00 PM",REB,OVER,7.5,9.06,1.56,0.748624,0.633903,93.7,S,SELECTED,0.828225,0,0.828225,,"top200 REB OVER agreement, abs gap (1.5, 2.0], source-side prior (0.80, 0.85]"
,2f2aa4d84cf07fd1e8ee,2026-05-05,Daniss Jenkins,DET,CLE,CLE@DET,"May 5, 7:00 PM",RA,OVER,4.5,4.84,0.34,0.835801,0.802527,93.7,S,CANDIDATE,0.788008,0.113,0.675008,low_projected_minutes,"tail200plus RA OVER agreement, HGB confidence (0.82, 0.85], final-side prior (0.65, 0.70]"
,4fbaf60c4bdf8a2942f9,2026-05-05,Luguentz Dort,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PTS,OVER,7.5,7,-0.5,0.720233,0.592364,93.7,S,CANDIDATE,0.784733,0.095,0.689733,projection_side_split,"top200 PTS OVER HGB/projection split, abs gap (0.25, 0.5], minutes (24, 28]"
,e8c9656f5a9b55f65d7f,2026-05-05,Luguentz Dort,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PA,OVER,8.5,8.27,-0.23,0.64634,0.548881,93.7,S,CANDIDATE,0.743145,0.119,0.624145,projection_side_split,"top200 PA OVER HGB/projection split, abs gap <= 0.25, minutes (24, 28]"
,dd7b11611c04ff5f81db,2026-05-05,Alex Caruso,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",AST,OVER,1.5,2.05,0.55,0.675634,0.494426,93.7,S,CANDIDATE,0.725694,0.095,0.630694,low_projected_minutes,"tail200plus AST OVER agreement, line (0.5, 1.5]"
1,d103b91b5b6149d827eb,2026-05-05,Marcus Smart,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PRA,UNDER,15.5,19.5,4,0.755688,0.7331,89.06,C,SELECTED,0.856146,0,0.856146,projection_side_split,
,f5474605300505c61494,2026-05-05,Marcus Smart,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PA,UNDER,12.5,16.1,3.6,0.74457,0.725569,89.06,C,CANDIDATE,0.84809,0.119,0.72909,projection_side_split,
,5c1047ed8c044ac29f7a,2026-05-05,Luke Kennard,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PA,UNDER,9.5,12.27,2.77,0.782323,0.769271,89.06,C,CANDIDATE,0.842121,0.119,0.723121,projection_side_split,
3,8be536b1f1a2f621518d,2026-05-05,Jaylin Williams,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",REB,OVER,2.5,3.9,1.4,0.846525,0.849314,90.16,B,SELECTED,0.84138,0.031,0.81038,low_projected_minutes,
,27c23a7041114e38d0f1,2026-05-05,Deandre Ayton,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",REB,UNDER,7.5,10.5,3,0.676243,0.543352,90.16,B,CANDIDATE,0.840394,0.107,0.733394,projection_side_split,
,3ae2da5d4705687c7903,2026-05-05,Marcus Smart,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",AST,UNDER,2.5,5.15,2.65,0.696824,0.537652,90.16,B,CANDIDATE,0.834134,0.095,0.739134,projection_side_split,
,4f499dc114021871e0a1,2026-05-05,Deandre Ayton,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",RA,UNDER,8.5,11.62,3.12,0.717168,0.660806,89.06,C,CANDIDATE,0.833924,0.113,0.720924,projection_side_split,
,0c7712b143389c0d5f9a,2026-05-05,Marcus Smart,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",RA,OVER,5.5,8.55,3.05,0.700818,0.67287,89.06,C,CANDIDATE,0.832837,0.113,0.719837,,
,22d77ced1adf3b87d762,2026-05-05,Jaylon Tyson,CLE,DET,CLE@DET,"May 5, 7:00 PM",THREES,OVER,0.5,1.25,0.75,0.850657,0.84579,90.16,B,CANDIDATE,0.819497,0.095,0.724497,low_projected_minutes,
,b733334bb67cf5d72347,2026-05-05,Deandre Ayton,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PTS,OVER,9.5,13.33,3.83,0.666899,0.576418,89.06,C,CANDIDATE,0.818062,0.095,0.723062,,
,ff33e45985fb3fc91041,2026-05-05,Evan Mobley,CLE,DET,CLE@DET,"May 5, 7:00 PM",PRA,UNDER,27.5,29.15,1.65,0.735161,0.70832,89.06,C,CANDIDATE,0.812982,0.119,0.693982,projection_side_split,
