selected_rank,candidate_id,slate_date,player,team,opponent,matchup_key,game_time_et,market,side,line,projected_value,line_gap,wf_confidence,meta_prob_correct,estimated_accuracy_prior_pct,tier,model_action,base_score,correlation_penalty,final_score,risk_flags,premium_pockets
1,d103b91b5b6149d827eb,2026-05-05,Marcus Smart,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PRA,UNDER,15.5,19.5,4,0.755688,0.7331,89.06,C,SELECTED,0.856146,0,0.856146,projection_side_split,
2,956704b5876bdbfd7721,2026-05-05,Jarrett Allen,CLE,DET,CLE@DET,"May 5, 7:00 PM",REB,OVER,7.5,9.06,1.56,0.748624,0.633903,93.7,S,SELECTED,0.828225,0,0.828225,,"top200 REB OVER agreement, abs gap (1.5, 2.0], source-side prior (0.80, 0.85]"
3,8be536b1f1a2f621518d,2026-05-05,Jaylin Williams,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",REB,OVER,2.5,3.9,1.4,0.846525,0.849314,90.16,B,SELECTED,0.84138,0.031,0.81038,low_projected_minutes,
4,62cbc03422626e0e26b7,2026-05-05,Cade Cunningham,DET,CLE,CLE@DET,"May 5, 7:00 PM",PA,UNDER,37.5,34.48,-3.02,0.673199,0.554028,89.06,C,SELECTED,0.811228,0.025,0.786228,,
