model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
COVERAGE,,D,0.40914,A'ja Wilson,,Team TBD,,Team TBD,REB,OVER,8.5,9.271,0.771,0.58926,0.50523,0.08403,31.84,126,,,,bet365,REB,live_current,not_on_current_roster,https://www.scoresandodds.com/wnba/props/rebounds,missing_source_projection|team_resolution_mismatch|unknown_team_context,
COVERAGE,,D,0.17965,Aliyah Boston,,Team TBD,,Team TBD,REB,OVER,7.5,7.506,0.006,0.51964,0.45921,0.06043,25.55,127,,,,bet365,REB,live_current,not_on_current_roster,https://www.scoresandodds.com/wnba/props/rebounds,missing_source_projection|team_resolution_mismatch|unknown_team_context|volatile_minutes,
COVERAGE,,D,0.31566,Angel Reese,,Team TBD,,Team TBD,REB,OVER,9.5,9.782,0.282,0.56294,0.50523,0.05771,28.79,98,,,,bet365,REB,live_current,not_on_current_roster,https://www.scoresandodds.com/wnba/props/rebounds,missing_source_projection|team_resolution_mismatch|unknown_team_context,
COVERAGE,,D,0.55673,Breanna Stewart,,Team TBD,,Team TBD,REB,OVER,7.5,8.73,1.23,0.63827,0.46691,0.17136,35.5,118,,,,bet365,REB,live_current,not_on_current_roster,https://www.scoresandodds.com/wnba/props/rebounds,missing_source_projection|team_resolution_mismatch|unknown_team_context,
COVERAGE,,S,0.86742,Jessica Shepard,,Team TBD,,Team TBD,REB,OVER,7.5,12.522,5.022,0.86436,0.51572,0.34863,33.93,76,,,,bet365,REB,live_current,not_on_current_roster,https://www.scoresandodds.com/wnba/props/rebounds,missing_source_projection|team_resolution_mismatch|unknown_team_context,not_fanduel_sourced
