slate_date,selected_rank,player,team,team_name,opponent,opponent_name,market,side,line,actual,settlement,model_probability,final_score,source_book,source_url
2026-07-08,1,Courtney Williams,MIN,Minnesota Lynx,CON,Connecticut Sun,PTS,UNDER,19.5,12.0,WIN,0.70689,0.86503,FanDuel,https://www.sportsgrid.com/wnba/game/minnesota-lynx-connecticut-sun-scores-odds-picks-props-july-08-2026/f1dd4c8d-5551-4864-b896-25139da8bf1e
2026-07-08,2,Rae Burrell,LA,Los Angeles Sparks,IND,Indiana Fever,PTS,UNDER,14.5,22.0,LOSS,0.685,0.83814,FanDuel,https://www.sportsgrid.com/wnba/game/indiana-fever-los-angeles-sparks-scores-odds-picks-props-july-08-2026/af60f17a-3bda-480d-a74c-a6470d208aaa
2026-07-08,3,Kennedy Burke,CON,Connecticut Sun,MIN,Minnesota Lynx,PTS,OVER,7.5,3.0,LOSS,0.65567,0.73293,FanDuel,https://www.sportsgrid.com/wnba/game/minnesota-lynx-connecticut-sun-scores-odds-picks-props-july-08-2026/f1dd4c8d-5551-4864-b896-25139da8bf1e
2026-07-08,4,Marina Mabrey,TOR,Toronto Tempo,GS,Golden State Valkyries,PTS,OVER,20.5,11.0,LOSS,0.60862,0.59287,FanDuel,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-toronto-tempo-scores-odds-picks-props-july-08-2026/4ed5cd67-c6e9-4231-90d0-048b8b07a0e7
2026-07-08,5,Ariel Atkins,LA,Los Angeles Sparks,IND,Indiana Fever,PR,UNDER,12.5,15.0,LOSS,0.60354,0.54755,FanDuel,https://www.sportsgrid.com/wnba/game/indiana-fever-los-angeles-sparks-scores-odds-picks-props-july-08-2026/af60f17a-3bda-480d-a74c-a6470d208aaa
