model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
COVERAGE,,D,0.28743,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,PA,OVER,18.5,18.709,0.209,0.52257,0.48428,0.0383,33.11,78,NAN,19.16,,bet365,PA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-assists,combo_market_correlation,
COVERAGE,,D,0.1977,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,PR,OVER,17.5,17.76,0.26,0.51097,0.51572,-0.00476,33.11,78,NAN,18.15,,bet365,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation,
COVERAGE,,D,0.42373,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,RA,OVER,5.5,6.124,0.624,0.545,0.48428,0.06072,33.11,78,NAN,6.07,,bet365,RA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,combo_market_correlation,
COVERAGE,,D,0.0,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,REB,UNDER,2.5,2.587,0.087,0.52018,0.56522,-0.04503,33.11,78,NAN,2.53,,bet365,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,single_side_price|source_projection_disagreement|source_projection_near_line|thin_market_count,
COVERAGE,,C,0.56415,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,THREES,OVER,1.5,2.422,0.922,0.62357,0.6063,0.01727,33.11,78,OVER,2.5,-154.0,nan,3 Point FG Made,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/las-vegas-aces-dallas-wings-scores-odds-picks-props-may-28-2026/df8ba318-05b9-4160-acfb-685d6293221d,single_side_price|thin_market_count,
COVERAGE,,D,0.0,Azzi Fudd,DAL,Dallas Wings,LV,Las Vegas Aces,PTS,OVER,11.5,11.921,0.421,0.51723,0.5288,-0.01156,24.95,8,NAN,11.09,,hardrock,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,source_projection_disagreement,
COVERAGE,,D,0.0,Azzi Fudd,DAL,Dallas Wings,LV,Las Vegas Aces,THREES,OVER,1.5,1.948,0.448,0.52996,0.56204,-0.03209,24.95,8,NAN,1.45,,hardrock,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,source_projection_disagreement|source_projection_near_line,
COVERAGE,,D,0.52736,Jessica Shepard,DAL,Dallas Wings,LV,Las Vegas Aces,PA,UNDER,16.5,15.474,-1.026,0.5923,0.50796,0.08434,28.6,56,NAN,15.98,,bet365,PA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-assists,combo_market_correlation,
COVERAGE,,D,0.43656,Paige Bueckers,DAL,Dallas Wings,LV,Las Vegas Aces,AST,UNDER,5.5,4.961,-0.539,0.5611,0.52542,0.03568,32.32,48,NAN,5.2,,draftkings,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,,
COVERAGE,,C,0.5736,Paige Bueckers,DAL,Dallas Wings,LV,Las Vegas Aces,PTS,UNDER,20.5,18.593,-1.907,0.58994,0.49439,0.09555,32.32,48,NAN,19.18,,bet365,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,,
COVERAGE,,D,0.2067,Paige Bueckers,DAL,Dallas Wings,LV,Las Vegas Aces,RA,OVER,8.5,8.758,0.258,0.51267,0.54677,-0.0341,32.32,48,NAN,9.25,,bet365,RA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,combo_market_correlation,
COVERAGE,,D,0.29336,Paige Bueckers,DAL,Dallas Wings,LV,Las Vegas Aces,REB,OVER,3.5,3.792,0.292,0.5041,0.47826,0.02583,32.32,48,NAN,4.05,,bet365,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,,
COVERAGE,,D,0.0,Paige Bueckers,DAL,Dallas Wings,LV,Las Vegas Aces,THREES,OVER,1.5,1.591,0.091,0.502,0.51928,-0.01728,32.32,48,NAN,1.32,,bet365,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,source_projection_disagreement|source_projection_near_line,
COVERAGE,,D,0.19831,Gabby Williams,GS,Golden State Valkyries,IND,Indiana Fever,AST,OVER,2.5,2.601,0.101,0.5123,0.57338,-0.06108,24.28,68,NAN,3.06,,bet365,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,volatile_minutes,
COVERAGE,,C,0.62291,Gabby Williams,GS,Golden State Valkyries,IND,Indiana Fever,RA,UNDER,7.5,5.762,-1.738,0.64671,0.54677,0.09994,24.28,68,NAN,7.35,,draftkings,RA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,combo_market_correlation|source_projection_near_line|volatile_minutes,
SELECTED,1,S,0.87294,Janelle Salaun,GS,Golden State Valkyries,IND,Indiana Fever,THREES,UNDER,2.5,1.543,-0.957,0.69045,0.60403,0.08641,25.72,44,NAN,1.9,,hardrock,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,volatile_minutes,
COVERAGE,,D,0.37893,Kayla Thornton,GS,Golden State Valkyries,IND,Indiana Fever,PR,UNDER,16.5,14.315,-2.185,0.55956,0.49579,0.06377,23.67,86,NAN,16.17,,bet365,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|source_projection_near_line|volatile_minutes,
COVERAGE,,D,0.10161,Kayla Thornton,GS,Golden State Valkyries,IND,Indiana Fever,REB,OVER,5.5,5.315,-0.185,0.51177,0.46324,0.04853,23.67,86,NAN,5.16,,bet365,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,source_projection_disagreement|volatile_minutes,
COVERAGE,,D,0.4217,Kayla Thornton,GS,Golden State Valkyries,IND,Indiana Fever,THREES,UNDER,1.5,1.107,-0.393,0.58756,0.57649,0.01107,23.67,86,NAN,1.17,,hardrock,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,volatile_minutes,
COVERAGE,,D,0.41698,Veronica Burton,GS,Golden State Valkyries,IND,Indiana Fever,PA,UNDER,20.5,18.561,-1.939,0.57819,0.51381,0.06439,24.9,94,NAN,20.33,,caesars,PA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-assists,combo_market_correlation|source_projection_near_line|volatile_minutes,
