model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
COVERAGE,,C,0.57406,Aneesah Morrow,CON,Connecticut Sun,POR,Portland Fire,PTS,UNDER,13.5,12.128,-1.372,0.59524,0.49505,0.10019,24.38,47,NAN,12.82,,bet365,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,,
COVERAGE,,D,0.44239,Brittney Griner,CON,Connecticut Sun,POR,Portland Fire,PR,UNDER,18.5,16.893,-1.607,0.57796,0.51456,0.0634,22.69,82,UNDER,15.8,-106.0,nan,Pts + Reb,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/connecticut-sun-portland-fire-scores-odds-picks-props-may-18-2026/ea8a0f89-87a1-4c71-a458-d0fc22293bfa,combo_market_correlation|single_side_price|thin_market_count|volatile_minutes,
COVERAGE,,D,0.46805,Brittney Griner,CON,Connecticut Sun,POR,Portland Fire,PTS,UNDER,13.5,12.132,-1.368,0.60424,0.56897,0.03528,22.69,82,UNDER,11.1,-132.0,nan,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/connecticut-sun-portland-fire-scores-odds-picks-props-may-18-2026/ea8a0f89-87a1-4c71-a458-d0fc22293bfa,single_side_price|thin_market_count|volatile_minutes,
COVERAGE,,D,0.5489,Brittney Griner,CON,Connecticut Sun,POR,Portland Fire,REB,UNDER,5.5,4.88,-0.62,0.59714,0.47368,0.12346,22.69,82,NAN,5.12,,bet365,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,volatile_minutes,
SELECTED,3,B,0.71141,Diamond Miller,CON,Connecticut Sun,POR,Portland Fire,PTS,UNDER,9.5,7.393,-2.107,0.65081,0.47368,0.17713,18.29,74,NAN,6.88,,bet365,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,same_game_concentration|volatile_minutes,
COVERAGE,,D,0.37442,Hailey Van Lith,CON,Connecticut Sun,POR,Portland Fire,PA,UNDER,13.5,12.265,-1.235,0.62666,0.46691,0.15975,18.17,38,NAN,13.96,,bet365,PA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-assists,combo_market_correlation|source_projection_disagreement|volatile_minutes,
SELECTED,4,B,0.66928,Hailey Van Lith,CON,Connecticut Sun,POR,Portland Fire,THREES,UNDER,1.5,1.146,-0.354,0.66535,0.62526,0.04009,18.17,38,NAN,1.24,,bet365,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,expanded_card_fill|same_game_concentration|volatile_minutes,
COVERAGE,,D,0.343,Saniya Rivers,CON,Connecticut Sun,POR,Portland Fire,AST,UNDER,4.5,4.24,-0.26,0.58213,0.56783,0.01431,26.94,48,NAN,4.33,,draftkings,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,source_projection_near_line,
COVERAGE,,D,0.10599,Saniya Rivers,CON,Connecticut Sun,POR,Portland Fire,PA,UNDER,13.5,13.331,-0.169,0.53952,0.50523,0.03429,26.94,48,NAN,14.2,,bet365,PA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-assists,combo_market_correlation|source_projection_disagreement,
COVERAGE,,D,0.03964,Saniya Rivers,CON,Connecticut Sun,POR,Portland Fire,PR,UNDER,11.5,11.326,-0.174,0.51047,0.48428,0.02619,26.94,48,NAN,11.88,,bet365,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|source_projection_disagreement,
COVERAGE,,D,0.30403,Saniya Rivers,CON,Connecticut Sun,POR,Portland Fire,PRA,UNDER,16.5,15.57,-0.93,0.55256,0.51685,0.0357,26.94,48,NAN,16.21,,draftkings,PRA,live_current,current_roster_match,"https://www.scoresandodds.com/wnba/props/points,-rebounds,-&-assists",combo_market_correlation|source_projection_near_line,
COVERAGE,,D,0.06187,Saniya Rivers,CON,Connecticut Sun,POR,Portland Fire,PTS,UNDER,9.5,9.092,-0.408,0.53809,0.53554,0.00255,26.94,48,NAN,9.87,,bet365,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,source_projection_disagreement,
CANDIDATE,,C,0.6112,Saniya Rivers,CON,Connecticut Sun,POR,Portland Fire,RA,UNDER,7.5,6.48,-1.02,0.62524,0.57436,0.05088,26.94,48,NAN,6.34,,bet365,RA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,combo_market_correlation,portfolio_full
COVERAGE,,D,0.36301,Saniya Rivers,CON,Connecticut Sun,POR,Portland Fire,REB,UNDER,2.5,2.243,-0.257,0.55477,0.5122,0.04257,26.94,48,NAN,2.01,,bet365,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,single_side_price|thin_market_count,
COVERAGE,,D,0.24333,Saniya Rivers,CON,Connecticut Sun,POR,Portland Fire,THREES,UNDER,1.5,1.189,-0.311,0.60059,0.63855,-0.03796,26.94,48,NAN,1.8,,bet365,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,source_projection_disagreement,
COVERAGE,,D,0.0,Alanna Smith,DAL,Dallas Wings,WSH,Washington Mystics,AST,OVER,2.5,2.842,0.342,0.5419,,,24.18,109,NAN,2.34,,nan,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,no_price_edge|single_side_price|source_projection_disagreement|source_projection_near_line|thin_market_count|volatile_minutes,
COVERAGE,,D,0.28764,Alanna Smith,DAL,Dallas Wings,WSH,Washington Mystics,PA,UNDER,11.5,10.429,-1.071,0.58944,0.52632,0.06312,24.18,109,NAN,11.89,,bet365,PA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-assists,combo_market_correlation|source_projection_disagreement|volatile_minutes,
COVERAGE,,D,0.24067,Alanna Smith,DAL,Dallas Wings,WSH,Washington Mystics,PR,UNDER,14.5,12.876,-1.624,0.58855,0.55056,0.03799,24.18,109,NAN,15.65,,bet365,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|source_projection_disagreement|volatile_minutes,
COVERAGE,,D,0.18397,Alanna Smith,DAL,Dallas Wings,WSH,Washington Mystics,PRA,UNDER,16.5,15.716,-0.784,0.55043,0.47769,0.07274,24.18,109,NAN,17.99,,bet365,PRA,live_current,current_roster_match,"https://www.scoresandodds.com/wnba/props/points,-rebounds,-&-assists",combo_market_correlation|source_projection_disagreement|volatile_minutes,
COVERAGE,,D,0.29185,Alanna Smith,DAL,Dallas Wings,WSH,Washington Mystics,PTS,UNDER,8.5,7.583,-0.917,0.58147,0.50561,0.07586,24.18,109,NAN,9.55,,bet365,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,source_projection_disagreement|volatile_minutes,
COVERAGE,,D,0.15482,Alanna Smith,DAL,Dallas Wings,WSH,Washington Mystics,RA,UNDER,8.5,8.13,-0.37,0.53554,0.58065,-0.04511,24.18,109,NAN,8.44,,bet365,RA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,combo_market_correlation|source_projection_near_line|volatile_minutes,
COVERAGE,,D,0.03215,Alanna Smith,DAL,Dallas Wings,WSH,Washington Mystics,REB,UNDER,5.5,5.289,-0.211,0.53668,0.55056,-0.01389,24.18,109,NAN,6.1,,bet365,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,source_projection_disagreement|volatile_minutes,
COVERAGE,,D,0.17398,Arike Ogunbowale,DAL,Dallas Wings,WSH,Washington Mystics,PA,UNDER,20.5,18.917,-1.583,0.57118,0.52632,0.04486,32.63,74,NAN,20.91,,bet365,PA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-assists,combo_market_correlation|source_projection_disagreement|source_projection_near_line,
COVERAGE,,D,0.31885,Arike Ogunbowale,DAL,Dallas Wings,WSH,Washington Mystics,PR,UNDER,20.5,18.727,-1.773,0.56064,0.53309,0.02755,32.63,74,NAN,20.24,,bet365,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|source_projection_near_line,
COVERAGE,,D,0.06931,Arike Ogunbowale,DAL,Dallas Wings,WSH,Washington Mystics,PRA,UNDER,23.5,22.003,-1.497,0.54857,0.52174,0.02684,32.63,74,NAN,23.73,,draftkings,PRA,live_current,current_roster_match,"https://www.scoresandodds.com/wnba/props/points,-rebounds,-&-assists",combo_market_correlation|source_projection_disagreement|source_projection_near_line,
SELECTED,5,C,0.63682,Arike Ogunbowale,DAL,Dallas Wings,WSH,Washington Mystics,PTS,UNDER,17.5,14.483,-3.017,0.62246,0.56522,0.05724,32.63,74,UNDER,13.3,-130.0,nan,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/washington-mystics-dallas-wings-scores-odds-picks-props-may-18-2026/05e5130f-d087-4f06-a748-fc6a89d60914,expanded_card_fill|single_side_price|thin_market_count,
COVERAGE,,D,0.21614,Arike Ogunbowale,DAL,Dallas Wings,WSH,Washington Mystics,RA,UNDER,6.5,6.361,-0.139,0.5549,0.58065,-0.02575,32.63,74,NAN,6.31,,bet365,RA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,combo_market_correlation|source_projection_near_line,
