model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
COVERAGE,,D,0.0,Laura Juskaitė,,Team TBD,,Team TBD,PTS,UNDER,9.5,9.624,0.124,0.52539,0.54079,-0.0154,24.61,19,NAN,10.16,,bet365,PTS,live_current,not_on_current_roster,https://www.scoresandodds.com/wnba/props/points,source_projection_disagreement|team_resolution_mismatch|unknown_team_context,
COVERAGE,,D,0.19044,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,AST,UNDER,3.5,3.388,-0.112,0.52653,0.64286,-0.11633,28.09,88,NAN,3.24,,bet365,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,single_side_price|thin_market_count,
COVERAGE,,D,0.34457,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,PA,UNDER,17.5,14.869,-2.631,0.55958,0.54128,0.01829,28.09,88,UNDER,11.7,-118.0,nan,Pts + Ast,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/dallas-wings-las-vegas-aces-scores-odds-picks-props-june-25-2026/8352e4cf-5adf-4c1a-b8a2-f781a930e69c,combo_market_correlation|single_side_price|thin_market_count,
COVERAGE,,D,0.25036,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,PR,UNDER,17.5,16.279,-1.221,0.52875,0.49332,0.03543,28.09,88,NAN,17.44,,bet365,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|source_projection_near_line,
COVERAGE,,D,0.0,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,PRA,UNDER,20.5,19.662,-0.838,0.51572,0.48816,0.02756,28.09,88,NAN,20.68,,bet365,PRA,live_current,current_roster_match,"https://www.scoresandodds.com/wnba/props/points,-rebounds,-&-assists",combo_market_correlation|source_projection_disagreement|source_projection_near_line,
COVERAGE,,D,0.45677,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,PTS,UNDER,14.5,11.542,-2.958,0.58458,0.5614,0.02317,28.09,88,UNDER,8.7,-128.0,nan,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/dallas-wings-las-vegas-aces-scores-odds-picks-props-june-25-2026/8352e4cf-5adf-4c1a-b8a2-f781a930e69c,single_side_price|thin_market_count,
COVERAGE,,D,0.12639,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,RA,UNDER,6.5,6.505,0.005,0.51119,0.53368,-0.02249,28.09,88,NAN,6.25,,fanduel,RA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,combo_market_correlation|source_projection_near_line,
COVERAGE,,D,0.32677,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,REB,UNDER,3.5,3.118,-0.382,0.55434,0.58089,-0.02655,28.09,88,NAN,3.01,,caesars,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,,
COVERAGE,,D,0.29087,Arike Ogunbowale,DAL,Dallas Wings,LV,Las Vegas Aces,THREES,OVER,1.5,1.696,0.196,0.54346,0.51376,0.0297,28.09,88,NAN,1.62,,draftkings,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,source_projection_near_line,
COVERAGE,,D,0.28055,Azzi Fudd,DAL,Dallas Wings,LV,Las Vegas Aces,AST,OVER,1.5,1.83,0.33,0.53975,0.53309,0.00666,34.68,18,NAN,1.81,,bet365,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,,
