model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
CANDIDATE,,S,0.89958,Natasha Cloud,CHI,Chicago Sky,GS,Golden State Valkyries,PA,OVER,15.5,22.68,7.18,0.7533,0.53271,0.22059,32.32,123,OVER,21.4,-114.0,FanDuel,Pts + Ast,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-chicago-sky-scores-odds-picks-props-august-21-2026/70b56889-dded-4caa-b55d-481b35915bd3,combo_market_correlation|single_side_price|thin_market_count,max_per_player
SELECTED,1,S,0.93589,Natasha Cloud,CHI,Chicago Sky,GS,Golden State Valkyries,PTS,OVER,10.5,16.975,6.475,0.7399,0.50495,0.23495,32.32,123,OVER,15.7,-102.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-chicago-sky-scores-odds-picks-props-august-21-2026/70b56889-dded-4caa-b55d-481b35915bd3,single_side_price|thin_market_count,
COVERAGE,,D,0.0,Veronica Burton,GS,Golden State Valkyries,CHI,Chicago Sky,PR,OVER,16.5,15.986,-0.514,0.50091,,,30.21,123,UNDER,13.7,-112.0,FanDuel,Pts + Reb,preserved_same_day,source_game_match,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-chicago-sky-scores-odds-picks-props-august-21-2026/70b56889-dded-4caa-b55d-481b35915bd3,combo_market_correlation|no_price_edge|not_current_source_snapshot|single_side_price|source_pick_disagreement|source_projection_disagreement|thin_market_count,single_side_price_excluded
COVERAGE,,D,0.19406,Veronica Burton,GS,Golden State Valkyries,CHI,Chicago Sky,PTS,UNDER,12.5,12.263,-0.237,0.51067,0.52381,-0.01314,30.21,123,UNDER,10.5,-110.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-chicago-sky-scores-odds-picks-props-august-21-2026/70b56889-dded-4caa-b55d-481b35915bd3,single_side_price|thin_market_count,below_consensus_probability
COVERAGE,,C,0.60524,Courtney Williams,MIN,Minnesota Lynx,WSH,Washington Mystics,PA,UNDER,18.5,15.409,-3.091,0.62477,0.5,0.12477,29.11,150,UNDER,13.9,100.0,FanDuel,Pts + Ast,preserved_same_day,source_game_match,https://www.sportsgrid.com/wnba/game/minnesota-lynx-washington-mystics-scores-odds-picks-props-august-21-2026/ae27b607-101a-4f90-8621-d38684626434,combo_market_correlation|not_current_source_snapshot|single_side_price|thin_market_count,not_current_source_snapshot
CANDIDATE,,A,0.78117,Courtney Williams,MIN,Minnesota Lynx,WSH,Washington Mystics,PA,UNDER,19.5,15.409,-4.091,0.67788,0.56522,0.11267,29.11,150,UNDER,13.9,-130.0,FanDuel,Pts + Ast,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/minnesota-lynx-washington-mystics-scores-odds-picks-props-august-21-2026/ae27b607-101a-4f90-8621-d38684626434,combo_market_correlation|single_side_price|thin_market_count,max_per_player
SELECTED,2,S,0.86835,Courtney Williams,MIN,Minnesota Lynx,WSH,Washington Mystics,PR,UNDER,19.5,13.924,-5.576,0.70986,0.53271,0.17715,29.11,150,UNDER,12.2,-114.0,FanDuel,Pts + Reb,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/minnesota-lynx-washington-mystics-scores-odds-picks-props-august-21-2026/ae27b607-101a-4f90-8621-d38684626434,combo_market_correlation|single_side_price|thin_market_count,
CANDIDATE,,S,0.85236,Courtney Williams,MIN,Minnesota Lynx,WSH,Washington Mystics,PTS,UNDER,14.5,10.655,-3.845,0.69482,0.51456,0.18025,29.11,150,UNDER,9.1,-106.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/minnesota-lynx-washington-mystics-scores-odds-picks-props-august-21-2026/ae27b607-101a-4f90-8621-d38684626434,single_side_price|thin_market_count,max_per_player
COVERAGE,,D,0.15569,Brittney Sykes,TOR,Toronto Tempo,POR,Portland Fire,PA,OVER,18.5,19.799,1.299,0.52754,0.54545,-0.01791,26.86,82,OVER,21.9,-120.0,FanDuel,Pts + Ast,preserved_same_day,source_game_match,https://www.sportsgrid.com/wnba/game/portland-fire-toronto-tempo-scores-odds-picks-props-august-21-2026/31280313-1025-4693-bd87-db61dbc83d3b,combo_market_correlation|not_current_source_snapshot|single_side_price|thin_market_count|volatile_minutes,not_current_source_snapshot
COVERAGE,,D,0.31775,Brittney Sykes,TOR,Toronto Tempo,POR,Portland Fire,PA,OVER,17.5,19.799,2.299,0.56828,0.55556,0.01272,26.86,82,OVER,21.9,-125.0,FanDuel,Pts + Ast,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/portland-fire-toronto-tempo-scores-odds-picks-props-august-21-2026/31280313-1025-4693-bd87-db61dbc83d3b,combo_market_correlation|single_side_price|thin_market_count|volatile_minutes,below_consensus_probability
