slate_date,selected_rank,player,team,team_name,opponent,opponent_name,market,side,line,actual,settlement,model_probability,final_score,source_book,source_url
2026-05-22,1,Aaliyah Edwards,CON,Connecticut Sun,SEA,Seattle Storm,PTS,UNDER,20.5,10.0,WIN,0.93466,1.0,bet365,https://www.scoresandodds.com/wnba/props/points
2026-05-22,2,Natisha Hiedeman,SEA,Seattle Storm,CON,Connecticut Sun,REB,UNDER,3.5,2.0,WIN,0.73433,0.88928,draftkings,https://www.scoresandodds.com/wnba/props/rebounds
2026-05-22,3,Allisha Gray,ATL,Atlanta Dream,DAL,Dallas Wings,THREES,UNDER,2.5,0.0,WIN,0.70675,0.84511,nan,https://www.sportsgrid.com/wnba/game/dallas-wings-atlanta-dream-scores-odds-picks-props-may-22-2026/5023e051-bc20-456f-816c-a2a37732b6ba
2026-05-22,4,Monique Billings,IND,Indiana Fever,GS,Golden State Valkyries,REB,UNDER,6.5,3.0,WIN,0.68063,0.77729,nan,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-indiana-fever-scores-odds-picks-props-may-22-2026/7c0f1304-31ea-408c-b40f-1ed7ba1b0652
2026-05-22,5,Angel Reese,ATL,Atlanta Dream,DAL,Dallas Wings,REB,UNDER,13.5,9.0,WIN,0.65901,0.75768,draftkings,https://www.scoresandodds.com/wnba/props/rebounds
2026-05-22,6,Saniya Rivers,CON,Connecticut Sun,SEA,Seattle Storm,PA,UNDER,14.5,4.0,WIN,0.64988,0.73008,bet365,https://www.scoresandodds.com/wnba/props/points-&-assists
