gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-11-29,REB,12.5,12.5,12.5,-120,-114.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Suns,bet365,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496050&market=rebounds&filter=Nikola%20Jokic
2025-12-01,AST,10.5,10,11.5,101,-136.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Mavericks @ Nuggets,prizepicks,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496070&market=assists&filter=Nikola%20Jokic
2025-12-01,PTS,29.5,29.5,30.5,-119,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Mavericks @ Nuggets,fanatics,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496070&market=points&filter=Nikola%20Jokic
2025-12-01,REB,12.5,12.5,13.5,-122.5,-112.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Mavericks @ Nuggets,fanatics,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496070&market=rebounds&filter=Nikola%20Jokic
2025-12-03,AST,10.5,10.5,10.5,-105,-135,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Pacers,draftkings,fanduel,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496180&market=assists&filter=Nikola%20Jokic
2025-12-03,PTS,29.5,29.5,30.5,-122.5,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Pacers,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496180&market=points&filter=Nikola%20Jokic
2025-12-03,REB,13.25,12.5,13.5,-124,-125,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Pacers,draftkings,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496180&market=rebounds&filter=Nikola%20Jokic
2025-12-05,AST,10.5,10.5,10.5,-135,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Hawks,fanatics,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496350&market=assists&filter=Nikola%20Jokic
2025-12-05,PTS,29.5,28.5,29.5,-124,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Hawks,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496350&market=points&filter=Nikola%20Jokic
2025-12-05,REB,12.5,12,12.5,-110,-135,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Hawks,prizepicks,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496350&market=rebounds&filter=Nikola%20Jokic
2025-12-07,AST,10.5,10.5,10.5,-126.5,-121.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Hornets,fanatics,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496580&market=assists&filter=Nikola%20Jokic
2025-12-07,PTS,29.5,29.5,29.5,-116,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Hornets,draftkings,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496580&market=points&filter=Nikola%20Jokic
2025-12-07,REB,12.5,11.5,12.5,-122.5,-135,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Hornets,bet365,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496580&market=rebounds&filter=Nikola%20Jokic
2025-12-11,AST,10.5,9.5,10.5,-130,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Kings,fanatics,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/11124240&market=assists&filter=Nikola%20Jokic
2025-12-11,PTS,29.5,28.5,30.5,-128.5,-116.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Kings,hardrock,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/11124240&market=points&filter=Nikola%20Jokic
2025-12-11,REB,12.5,12.5,12.5,-120,-118,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Kings,fanatics,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/11124240&market=rebounds&filter=Nikola%20Jokic
2025-12-15,AST,9.5,9.5,11.5,-135,-137,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Rockets @ Nuggets,riverscasino,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/11124310&market=assists&filter=Nikola%20Jokic
