gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-11-29,PTS,29.5,29.5,30.5,-120,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Suns,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496050&market=points&filter=Nikola%20Jokic
2025-12-01,PTS,29.5,29.5,30.5,-119,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Mavericks @ Nuggets,fanatics,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496070&market=points&filter=Nikola%20Jokic
2025-12-03,PTS,29.5,29.5,30.5,-122.5,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Pacers,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496180&market=points&filter=Nikola%20Jokic
2025-12-05,PTS,29.5,28.5,29.5,-124,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Hawks,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496350&market=points&filter=Nikola%20Jokic
2025-12-07,PTS,29.5,29.5,29.5,-116,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Hornets,draftkings,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496580&market=points&filter=Nikola%20Jokic
2025-12-11,PTS,29.5,28.5,30.5,-128.5,-116.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Kings,hardrock,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/11124240&market=points&filter=Nikola%20Jokic
2025-12-15,PTS,28.5,23.5,28.5,-120,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Rockets @ Nuggets,fanatics,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/11124310&market=points&filter=Nikola%20Jokic
2025-12-18,PTS,30.5,29.5,31.5,-119.5,-124,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Magic @ Nuggets,riverscasino,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496730&market=points&filter=Nikola%20Jokic
2025-12-20,PTS,29.5,29.5,30.5,-117,-114,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Rockets @ Nuggets,fanduel,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496810&market=points&filter=Nikola%20Jokic
2025-12-22,PTS,30.5,30.5,31.5,-115,-124,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Jazz @ Nuggets,draftkings,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497050&market=points&filter=Nikola%20Jokic
2025-12-23,PTS,29.5,29.5,30.5,-120,-118.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Mavericks,fanatics,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497020&market=points&filter=Nikola%20Jokic
2025-12-25,PTS,29.5,29.5,32.5,-122,-118,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Timberwolves @ Nuggets,bet365,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8484110&market=points&filter=Nikola%20Jokic
2025-12-27,PTS,29.5,29.5,30.5,-120,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Magic,fanatics,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497210&market=points&filter=Nikola%20Jokic
