date,rule,cardSize,playerTabPicksOnDay,usedLegsOnDay,unusedLegsOnDay,cardIndex,card_hit,eligibleLegsOnDay,legA_correct,legA_line,legA_market,legA_player,legA_score,legA_side,legA_team,legB_correct,legB_line,legB_market,legB_player,legB_score,legB_side,legB_team,legC_correct,legC_line,legC_market,legC_player,legC_score,legC_side,legC_team,legD_correct,legD_line,legD_market,legD_player,legD_score,legD_side,legD_team,legE_correct,legE_line,legE_market,legE_player,legE_score,legE_side,legE_team,legF_correct,legF_line,legF_market,legF_player,legF_score,legF_side,legF_team
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,28,True,58,True,9.5,PTS,Julian Champagnie,0.795324,UNDER,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,29,True,58,True,17.0,PR,Moussa Diabaté,0.791562,UNDER,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,30,True,58,True,17.5,PRA,Davion Mitchell,0.788678,UNDER,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,31,True,58,True,13.5,PR,Isaiah Joe,0.7879,OVER,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,32,True,58,True,9.5,RA,Ryan Rollins,0.787849,OVER,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,33,True,58,True,11.5,PA,Cason Wallace,0.781445,OVER,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,34,True,58,True,15.5,PTS,Ajay Mitchell,0.77956,OVER,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,35,True,58,True,8.5,PRA,Alex Caruso,0.772261,UNDER,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,36,True,58,True,12.5,PR,Jaylin Williams,0.767275,OVER,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,37,True,58,True,20.5,PRA,Bub Carrington,0.750505,UNDER,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,38,True,58,True,33.0,PA,Stephen Curry,0.749631,UNDER,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,39,True,58,True,12.5,PTS,Cole Anthony,0.748463,OVER,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,40,True,58,True,6.5,RA,Bobby Portis,0.739031,OVER,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,41,True,58,True,0.5,AST,Ryan Kalkbrenner,0.737448,UNDER,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,42,True,58,True,14.5,PRA,Kyle Kuzma,0.73452,OVER,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,43,True,58,True,2.5,REB,Sion James,0.731618,OVER,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,44,True,58,True,9.5,PTS,Tre Mann,0.727681,UNDER,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,45,False,58,False,2.5,REB,Collin Sexton,0.726817,OVER,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,46,False,58,False,5.5,AST,Draymond Green,0.722567,UNDER,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,47,True,58,True,14.5,PR,Tre Johnson,0.711885,UNDER,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,48,True,58,True,4.5,RA,Al Horford,0.678736,UNDER,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,49,True,58,True,1.5,REB,Buddy Hield,0.678689,UNDER,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,50,True,58,True,8.5,PTS,Simone Fontecchio,0.675817,OVER,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,51,True,58,True,1.5,REB,Dru Smith,0.674973,OVER,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,52,True,58,True,3.5,REB,Bilal Coulibaly,0.669141,OVER,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,53,False,58,False,2.5,AST,Jonathan Kuminga,0.661467,UNDER,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,54,True,58,True,1.5,AST,Taurean Prince,0.660941,UNDER,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,55,True,58,True,8.5,PTS,Cam Whitmore,0.647857,UNDER,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
