playerName,PTS_samples,PTS_acc,PTS_holdout,PTS_hit80,REB_samples,REB_acc,REB_holdout,REB_hit80,AST_samples,AST_acc,AST_holdout,AST_hit80,THREES_samples,THREES_acc,THREES_holdout,THREES_hit80,PRA_samples,PRA_acc,PRA_holdout,PRA_hit80,PA_samples,PA_acc,PA_holdout,PA_hit80,PR_samples,PR_acc,PR_holdout,PR_hit80,RA_samples,RA_acc,RA_holdout,RA_hit80
Collin Sexton,48,87.5,53.33,true,47,89.36,26.67,true,47,89.36,53.33,true,38,92.11,66.67,true,29,82.76,66.67,true,30,93.33,55.56,true,30,93.33,44.44,true,30,90,77.78,true
Cooper Flagg,50,94,86.67,true,50,96,73.33,true,50,90,73.33,true,46,84.78,50,true,20,100,100,true,20,100,83.33,true,20,100,100,true,20,100,83.33,true
Corey Kispert,30,93.33,55.56,true,30,93.33,33.33,true,29,89.66,55.56,true,8,100,33.33,true,16,93.75,20,true,15,100,40,true,15,100,20,true,16,93.75,60,true
D'Angelo Russell,16,93.75,60,true,15,93.33,40,true,15,100,40,true,9,100,66.67,true,4,100,,true,4,100,,true,4,100,,true,4,100,,true
Dalton Knecht,8,100,33.33,true,9,100,33.33,true,9,100,66.67,true,4,100,,true,3,100,,true,3,100,,true,5,100,,true,3,100,,true
Daniss Jenkins,22,100,57.14,true,15,86.67,40,true,14,92.86,80,true,4,100,,true,12,100,50,true,11,100,75,true,11,100,50,true,12,100,25,true
Danny Wolf,37,100,25,true,37,91.89,41.67,true,36,91.67,27.27,true,23,82.61,57.14,true,26,92.31,62.5,true,26,88.46,37.5,true,26,88.46,37.5,true,26,96.15,37.5,true
Darius Garland,30,96.67,66.67,true,30,86.67,55.56,true,30,90,33.33,true,27,96.3,55.56,true,8,100,0,true,8,100,0,true,8,87.5,66.67,true,8,100,100,true
De'Aaron Fox,56,85.71,41.18,true,55,87.27,64.71,true,56,92.86,41.18,true,51,96.08,43.75,true,35,82.86,27.27,true,35,82.86,45.45,true,35,100,45.45,true,35,94.29,63.64,true
De'Andre Hunter,44,88.64,78.57,true,44,95.45,42.86,true,44,81.82,50,true,36,88.89,36.36,true,10,100,66.67,true,9,100,33.33,true,10,90,33.33,true,10,100,33.33,true
De'Anthony Melton,33,81.82,60,true,32,93.75,50,true,30,83.33,66.67,true,25,96,25,true,16,93.75,40,true,17,100,83.33,true,17,100,50,true,17,100,50,true
Dean Wade,46,89.13,35.71,true,46,86.96,35.71,true,42,88.1,46.15,true,30,93.33,33.33,true,26,92.31,87.5,true,26,100,62.5,true,25,92,62.5,true,26,88.46,50,true
Dejounte Murray,6,100,,true,6,100,,true,6,100,,true,6,100,,true,4,100,,true,4,100,,true,4,100,,true,4,100,,true
Deni Avdija,46,93.48,42.86,true,47,87.23,46.67,true,47,87.23,73.33,true,47,87.23,53.33,true,17,88.24,50,true,17,100,50,true,17,100,50,true,17,100,50,true
Derrick White,61,88.52,52.63,true,60,91.67,44.44,true,61,81.97,47.37,true,60,86.67,50,true,37,89.19,41.67,true,37,81.08,33.33,true,37,94.59,58.33,true,35,91.43,72.73,true
Desmond Bane,62,93.55,57.89,true,62,82.26,26.32,true,61,83.61,42.11,true,56,92.86,41.18,true,29,82.76,44.44,true,29,93.1,44.44,true,29,100,66.67,true,29,86.21,22.22,true
