date,selectedRank,modelAction,tier,playerName,teamCode,gameKey,market,side,line,actualValue,actualSide,correct,projectedValue,lineGap,absLineGap,wfConfidence,metaProbCorrect,projectedMinutes,minutesVolatility,starterRateLast10,expectedMinutes,minutesLiftPct,lineupTimingConfidence,completenessScore,openingTeamSpread,openingTotal,missingCoreShare,stepUpRoleFlag,estimatedAccuracyPriorPct,baseScore,contextScore,contextAdjustment,correlationPenalty,finalScore,rejectionReason,components,riskFlags,contextFlags,contextNotes
2025-11-01,2,SELECTED,A,CJ McCollum,WAS,0022500145,PTS,UNDER,15.5,13.0,UNDER,True,18.31,2.81,2.81,0.983596,0.75,29.7,5.24,0.0,29.7,-0.0745,,58.0,9.0,234.0,0.0,False,91.06,0.921902,0.39,0.0,0.006,0.915902,,live_quality_router_v9;top200_accuracy_first;top200_coverage_frontier;top200_recent_form_fade;top200_primary,projection_side_split;thin_context_completeness;blowout_spread_risk,thin_context_completeness;blowout_spread_risk,
2025-11-01,3,SELECTED,A,Nique Clifford,SAC,0022500142,AST,UNDER,0.5,0.0,UNDER,True,4.22,3.72,3.72,0.959188,0.75,25.29,4.46,,25.29,0.0,,51.0,6.5,233.0,0.0,False,90.71,0.903545,0.44,0.0,0.0,0.903545,,live_quality_router_v9;top200_accuracy_first;top200_coverage_frontier;top200_primary,projection_side_split;thin_context_completeness,thin_context_completeness,
2025-11-01,4,SELECTED,A,Jarace Walker,IND,0022500144,PRA,UNDER,24.5,20.0,UNDER,True,19.33,-5.17,5.17,0.983894,0.75,24.26,8.28,0.0,24.26,0.723,,69.0,9.5,232.5,0.0,False,90.16,0.893636,0.29,0.0,0.0,0.893636,,live_quality_router_v9;top200_accuracy_first;top200_primary,thin_context_completeness;volatile_minutes;minutes_lift_against_side;blowout_spread_risk,thin_context_completeness;volatile_minutes;minutes_lift_against_side;blowout_spread_risk,
2025-11-01,5,SELECTED,A,Cooper Flagg,DAL,0022500147,REB,OVER,6.5,8.0,OVER,True,5.24,-1.26,1.26,0.958808,0.75,27.55,6.48,,27.55,0.0,,64.0,7.5,227.5,0.0,False,90.71,0.860843,0.44,0.0,0.0,0.860843,,live_quality_router_v9;top200_accuracy_first;top200_coverage_frontier;top200_primary,projection_side_split;thin_context_completeness,thin_context_completeness,
2025-11-01,6,SELECTED,A,LaMelo Ball,CHA,0022500143,AST,OVER,7.5,8.0,OVER,True,9.93,2.43,2.43,0.939771,0.75,28.64,6.17,0.0,28.64,-0.1279,,70.0,4.5,234.5,0.0,False,90.16,0.842793,0.49,0.0,0.006,0.836793,,live_quality_router_v9;top200_accuracy_first;top200_primary,minutes_lift_against_side,minutes_lift_against_side,competitive_spread
2025-11-02,1,SELECTED,S,Ajay Mitchell,OKC,0022500148,AST,OVER,2.5,8.0,OVER,True,2.02,-0.48,0.48,0.973606,0.75,19.41,11.57,0.0,19.41,0.2116,,70.0,-13.0,228.5,0.0,False,94.8,0.848772,0.385,0.0,0.0,0.848772,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,low_projected_minutes;projection_side_split;volatile_minutes;blowout_spread_risk;bench_role_context,volatile_minutes;blowout_spread_risk;bench_role_context,minutes_lift_supports_over
2025-11-02,2,SELECTED,S,Jamal Shead,TOR,0022500152,AST,OVER,4.0,5.0,OVER,True,4.4,0.4,0.4,0.966753,0.75,16.86,3.05,,16.86,-0.1191,1.0,73.0,-4.5,238.5,0.1226,False,94.8,0.841156,0.595,0.0,0.006,0.835156,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,low_projected_minutes,,strong_lineup_timing;stable_minutes;competitive_spread
2025-11-02,3,SELECTED,S,Jose Alvarado,NOP,0022500148,REB,OVER,1.5,2.0,OVER,True,1.87,0.37,0.37,0.971853,0.75,17.25,7.68,0.0,17.25,-0.1683,,70.0,13.0,228.5,0.0,False,93.7,0.816644,0.385,0.0,0.025,0.791644,,live_quality_router_v9;top200_premium_90,low_projected_minutes;minutes_lift_against_side;blowout_spread_risk;bench_role_context,minutes_lift_against_side;blowout_spread_risk;bench_role_context,
2025-11-02,4,SELECTED,A,Victor Wembanyama,SAS,0022500154,PTS,UNDER,28.0,9.0,UNDER,True,24.49,-3.51,3.51,0.9871,0.75,27.08,7.65,,27.08,-0.1179,,66.0,-5.0,227.5,0.0,False,90.16,0.903913,0.495,0.0,0.0,0.903913,,live_quality_router_v9;top200_accuracy_first;top200_primary,thin_context_completeness,thin_context_completeness,minutes_lift_supports_under;competitive_spread
2025-11-02,5,SELECTED,A,Nickeil Alexander-Walker,ATL,0022500151,PRA,UNDER,28.5,24.0,UNDER,True,22.75,-5.75,5.75,0.982349,0.75,27.49,6.39,0.0,27.49,0.0785,1.0,60.0,6.5,230.0,0.0,False,90.16,0.898741,0.475,0.0,0.0,0.898741,,live_quality_router_v9;top200_accuracy_first;top200_primary,thin_context_completeness,thin_context_completeness,strong_lineup_timing
