playerName,allEightAt80,targetHitCount,PTS_samples,PTS_acc,PTS_holdout,PTS_hit80,REB_samples,REB_acc,REB_holdout,REB_hit80,AST_samples,AST_acc,AST_holdout,AST_hit80,THREES_samples,THREES_acc,THREES_holdout,THREES_hit80,PRA_samples,PRA_acc,PRA_holdout,PRA_hit80,PA_samples,PA_acc,PA_holdout,PA_hit80,PR_samples,PR_acc,PR_holdout,PR_hit80,RA_samples,RA_acc,RA_holdout,RA_hit80
RJ Barrett,false,6,38,76.32,41.67,false,38,84.21,16.67,true,38,86.84,50,true,38,71.05,50,false,24,95.83,62.5,true,24,95.83,62.5,true,24,91.67,37.5,true,24,83.33,37.5,true
Rob Dillingham,false,7,7,100,,true,7,100,,true,7,100,,true,,,,,5,100,,true,5,100,,true,5,80,,true,5,100,,true
Ronald Holland II,false,1,,,,,,,,,,,,,2,100,,true,,,,,,,,,,,,,,,,
Royce O'Neale,false,5,63,79.37,31.58,false,63,76.19,52.63,false,62,79.03,52.63,false,60,85,61.11,true,35,85.71,63.64,true,35,82.86,72.73,true,35,91.43,90.91,true,35,80,54.55,true
Rudy Gobert,false,5,60,80,44.44,true,60,71.67,44.44,false,59,79.66,38.89,false,,,,,36,83.33,36.36,true,36,80.56,45.45,true,36,88.89,45.45,true,36,88.89,63.64,true
Rui Hachimura,false,6,51,84.31,62.5,true,51,80.39,50,true,50,78,53.33,false,39,79.49,58.33,false,29,100,55.56,true,29,93.1,55.56,true,29,96.55,44.44,true,28,96.43,44.44,true
Russell Westbrook,false,4,59,79.66,61.11,false,59,77.97,55.56,false,59,79.66,44.44,false,55,72.73,35.29,false,43,81.4,84.62,true,43,81.4,69.23,true,43,81.4,69.23,true,43,86.05,76.92,true
Ryan Dunn,true,8,42,83.33,46.15,true,42,88.1,46.15,true,41,87.8,61.54,true,20,95,66.67,true,18,100,83.33,true,17,88.24,50,true,18,88.89,50,true,17,100,66.67,true
Ryan Kalkbrenner,false,6,44,77.27,57.14,false,44,88.64,42.86,true,43,79.07,53.85,false,4,100,,true,24,87.5,50,true,24,95.83,75,true,26,88.46,50,true,23,91.3,28.57,true
Ryan Nembhard,false,7,23,82.61,71.43,true,10,100,33.33,true,22,81.82,71.43,true,,,,,12,100,50,true,10,100,66.67,true,12,91.67,50,true,8,100,66.67,true
Ryan Rollins,true,8,60,81.67,38.89,true,60,80,55.56,true,60,80,50,true,58,87.93,22.22,true,35,94.29,54.55,true,35,85.71,45.45,true,36,83.33,54.55,true,36,91.67,36.36,true
Saddiq Bey,false,4,58,74.14,77.78,false,58,74.14,44.44,false,57,77.19,44.44,false,53,77.36,56.25,false,37,89.19,58.33,true,37,86.49,25,true,37,81.08,66.67,true,36,88.89,63.64,true
Sam Hauser,false,6,56,82.14,52.94,true,55,78.18,58.82,false,55,80,47.06,true,33,78.79,40,false,34,88.24,45.45,true,34,88.24,45.45,true,34,85.29,54.55,true,34,85.29,36.36,true
Sam Merrill,true,8,39,89.74,58.33,true,39,82.05,50,true,39,87.18,50,true,35,94.29,54.55,true,25,96,62.5,true,25,88,37.5,true,25,96,62.5,true,25,92,25,true
Sandro Mamukelashvili,false,4,56,75,47.06,false,55,78.18,70.59,false,56,73.21,47.06,false,40,90,50,true,37,78.38,50,false,37,89.19,58.33,true,37,89.19,50,true,37,81.08,58.33,true
Santi Aldama,true,8,41,85.37,61.54,true,41,82.93,46.15,true,42,88.1,23.08,true,28,89.29,66.67,true,14,100,40,true,14,100,40,true,13,92.31,25,true,14,85.71,60,true
Scoot Henderson,true,8,13,92.31,75,true,13,100,50,true,13,100,50,true,11,100,100,true,7,100,,true,7,100,,true,7,100,,true,7,100,,true
Scottie Barnes,false,4,60,70,50,false,60,76.67,33.33,false,60,76.67,38.89,false,59,72.88,61.11,false,36,83.33,54.55,true,36,83.33,36.36,true,36,91.67,36.36,true,36,80.56,72.73,true
Scotty Pippen Jr.,false,1,,,,,,,,,,,,,8,100,66.67,true,,,,,,,,,,,,,,,,
Shaedon Sharpe,true,8,46,93.48,64.29,true,46,80.43,42.86,true,46,95.65,64.29,true,44,81.82,57.14,true,23,86.96,28.57,true,23,82.61,57.14,true,23,86.96,57.14,true,23,86.96,42.86,true
Shai Gilgeous-Alexander,false,6,53,83.02,31.25,true,52,75,50,false,53,75.47,62.5,false,51,86.27,75,true,29,86.21,33.33,true,29,82.76,22.22,true,29,93.1,66.67,true,29,86.21,33.33,true
Sharife Cooper,false,6,3,100,,true,2,100,,true,,,,,,,,,1,100,,true,1,100,,true,1,100,,true,2,100,,true
Sidy Cissoko,false,6,30,83.33,44.44,true,16,93.75,60,true,13,100,100,true,,,,,26,76.92,37.5,false,23,91.3,57.14,true,21,90.48,28.57,true,11,100,25,true
Simone Fontecchio,false,7,36,83.33,45.45,true,36,75,63.64,false,36,94.44,81.82,true,6,100,,true,20,95,33.33,true,20,95,33.33,true,20,100,33.33,true,20,100,50,true
Sion James,false,6,56,80.36,52.94,true,57,77.19,55.56,false,57,85.96,38.89,true,11,81.82,25,true,40,80,41.67,true,40,82.5,33.33,true,39,84.62,33.33,true,39,79.49,66.67,false
Spencer Jones,false,7,31,90.32,60,true,18,83.33,33.33,true,4,100,,true,,,,,25,92,25,true,25,84,25,true,25,84,37.5,true,16,87.5,40,true
Stephen Curry,true,8,38,89.47,25,true,38,86.84,25,true,38,92.11,66.67,true,38,81.58,33.33,true,14,100,60,true,14,100,20,true,14,100,20,true,14,100,60,true
Stephon Castle,false,7,53,84.91,43.75,true,51,84.31,81.25,true,53,79.25,50,false,46,86.96,64.29,true,35,88.57,27.27,true,35,88.57,54.55,true,35,94.29,54.55,true,35,82.86,63.64,true
Steven Adams,false,7,29,89.66,66.67,true,29,89.66,44.44,true,29,86.21,44.44,true,,,,,5,80,,true,5,100,,true,5,80,,true,5,80,,true
Svi Mykhailiuk,true,8,41,82.93,69.23,true,40,90,25,true,39,89.74,41.67,true,37,83.78,25,true,19,94.74,66.67,true,19,94.74,66.67,true,19,100,66.67,true,19,94.74,33.33,true
T.J. McConnell,false,7,35,80,36.36,true,35,71.43,45.45,false,35,94.29,36.36,true,16,93.75,20,true,15,80,20,true,15,80,40,true,15,100,60,true,15,93.33,20,true
Taelon Peter,false,2,1,100,,true,,,,,,,,,,,,,2,100,,true,,,,,,,,,,,,
