model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
CANDIDATE,,C,0.6445,Allisha Gray,ATL,Atlanta Dream,LA,Los Angeles Sparks,PTS,UNDER,20.5,18.142,-2.358,0.62528,0.53052,0.09477,32.61,118,UNDER,16.9,-113.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/los-angeles-sparks-atlanta-dream-scores-odds-picks-props-july-13-2026/b3d7c1d2-eb98-4fc3-8183-1149edea4f30,single_side_price|thin_market_count,max_per_player
SELECTED,1,B,0.67704,Allisha Gray,ATL,Atlanta Dream,LA,Los Angeles Sparks,THREES,UNDER,1.5,1.069,-0.431,0.6442,0.4902,0.154,32.61,118,UNDER,0.7,104.0,FanDuel,3 Point FG Made,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/los-angeles-sparks-atlanta-dream-scores-odds-picks-props-july-13-2026/b3d7c1d2-eb98-4fc3-8183-1149edea4f30,single_side_price|thin_market_count,
COVERAGE,,D,0.25032,Ariel Atkins,LA,Los Angeles Sparks,ATL,Atlanta Dream,PTS,UNDER,10.5,10.189,-0.311,0.54423,0.56522,-0.02098,26.89,100,UNDER,8.4,-130.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/los-angeles-sparks-atlanta-dream-scores-odds-picks-props-july-13-2026/b3d7c1d2-eb98-4fc3-8183-1149edea4f30,single_side_price|thin_market_count,below_consensus_probability
SELECTED,2,C,0.6377,Courtney Williams,MIN,Minnesota Lynx,PHX,Phoenix Mercury,PA,UNDER,20.5,17.998,-2.502,0.64577,0.56897,0.0768,31.73,135,UNDER,16.7,-132.0,FanDuel,Pts + Ast,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/phoenix-mercury-minnesota-lynx-scores-odds-picks-props-july-13-2026/a1ced4a6-80d9-4a36-8cbd-5884b3ae2d57,blowout_spread|combo_market_correlation|single_side_price|thin_market_count,
COVERAGE,,C,0.65332,Courtney Williams,MIN,Minnesota Lynx,PHX,Phoenix Mercury,PTS,UNDER,16.5,13.785,-2.715,0.64577,0.56522,0.08056,31.73,135,UNDER,13.0,-130.0,FanDuel,Points,preserved_same_day,source_game_match,https://www.sportsgrid.com/wnba/game/phoenix-mercury-minnesota-lynx-scores-odds-picks-props-july-13-2026/a1ced4a6-80d9-4a36-8cbd-5884b3ae2d57,blowout_spread|not_current_source_snapshot|single_side_price|thin_market_count,not_current_source_snapshot
COVERAGE,,D,0.47798,Courtney Williams,MIN,Minnesota Lynx,PHX,Phoenix Mercury,PTS,UNDER,15.5,13.785,-1.715,0.57309,0.50495,0.06814,31.73,135,UNDER,13.0,-102.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/phoenix-mercury-minnesota-lynx-scores-odds-picks-props-july-13-2026/a1ced4a6-80d9-4a36-8cbd-5884b3ae2d57,blowout_spread|single_side_price|thin_market_count,below_consensus_probability
COVERAGE,,D,0.20452,Natasha Howard,MIN,Minnesota Lynx,PHX,Phoenix Mercury,PTS,UNDER,15.5,14.529,-0.971,0.51558,0.50495,0.01063,30.96,108,UNDER,13.7,-102.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/phoenix-mercury-minnesota-lynx-scores-odds-picks-props-july-13-2026/a1ced4a6-80d9-4a36-8cbd-5884b3ae2d57,blowout_spread|single_side_price|thin_market_count,below_consensus_probability
