model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
CANDIDATE,,B,0.67298,Allisha Gray,ATL,Atlanta Dream,POR,Portland Fire,PR,UNDER,24.5,20.747,-3.753,0.65178,0.54545,0.10633,31.95,101,UNDER,20.2,-120.0,nan,Pts + Reb,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/atlanta-dream-portland-fire-scores-odds-picks-props-may-29-2026/bab67a5b-b55a-4880-bd48-b4237b062001,combo_market_correlation|single_side_price|thin_market_count|volatile_minutes,
COVERAGE,,C,0.57965,Allisha Gray,ATL,Atlanta Dream,POR,Portland Fire,PTS,UNDER,19.5,17.215,-2.285,0.61229,0.51456,0.09773,31.95,101,UNDER,16.0,-106.0,nan,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/atlanta-dream-portland-fire-scores-odds-picks-props-may-29-2026/bab67a5b-b55a-4880-bd48-b4237b062001,single_side_price|thin_market_count|volatile_minutes,
COVERAGE,,D,0.18018,Allisha Gray,ATL,Atlanta Dream,POR,Portland Fire,REB,UNDER,4.5,3.69,-0.81,0.58981,0.56713,0.02268,31.95,101,NAN,4.73,,fanduel,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,source_projection_disagreement|source_projection_near_line|volatile_minutes,
COVERAGE,,D,0.46348,Allisha Gray,ATL,Atlanta Dream,POR,Portland Fire,THREES,UNDER,2.5,2.065,-0.435,0.62616,0.67742,-0.05126,31.95,101,UNDER,1.3,-210.0,nan,3 Point FG Made,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/atlanta-dream-portland-fire-scores-odds-picks-props-may-29-2026/bab67a5b-b55a-4880-bd48-b4237b062001,single_side_price|thin_market_count|volatile_minutes,
COVERAGE,,D,0.28117,Angel Reese,ATL,Atlanta Dream,POR,Portland Fire,AST,OVER,2.5,3.026,0.526,0.57863,,,29.19,79,NAN,2.55,,nan,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,no_price_edge|single_side_price|source_projection_near_line|thin_market_count|volatile_minutes,
COVERAGE,,D,0.16878,Angel Reese,ATL,Atlanta Dream,POR,Portland Fire,PA,OVER,16.5,16.688,0.188,0.50084,0.53055,-0.0297,29.19,79,NAN,17.14,,caesars,PA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-assists,combo_market_correlation|volatile_minutes,
COVERAGE,,D,0.23344,Angel Reese,ATL,Atlanta Dream,POR,Portland Fire,PR,UNDER,26.5,24.064,-2.436,0.58213,0.50421,0.07792,29.19,79,NAN,26.82,,fanduel,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|source_projection_disagreement|source_projection_near_line|volatile_minutes,
COVERAGE,,D,0.40452,Angel Reese,ATL,Atlanta Dream,POR,Portland Fire,PRA,UNDER,29.5,27.09,-2.41,0.56791,0.5053,0.06261,29.19,79,NAN,29.37,,fanduel,PRA,live_current,current_roster_match,"https://www.scoresandodds.com/wnba/props/points,-rebounds,-&-assists",combo_market_correlation|source_projection_near_line|volatile_minutes,
COVERAGE,,D,0.19386,Angel Reese,ATL,Atlanta Dream,POR,Portland Fire,PTS,OVER,13.5,13.658,0.158,0.50514,0.5,0.00514,29.19,79,NAN,14.59,,bet365,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,volatile_minutes,
COVERAGE,,B,0.72372,Angel Reese,ATL,Atlanta Dream,POR,Portland Fire,REB,UNDER,12.5,10.405,-2.095,0.67103,0.53676,0.13428,29.19,79,NAN,12.23,,bet365,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,source_projection_near_line|volatile_minutes,
COVERAGE,,D,0.0,Jordin Canada,ATL,Atlanta Dream,POR,Portland Fire,AST,UNDER,6.5,6.668,0.168,0.54098,0.56802,-0.02704,28.41,62,NAN,6.75,,caesars,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,source_projection_disagreement|source_projection_near_line|volatile_minutes,
